engine_no,LAST(recordings.time_in_cycles),LAST(recordings.operational_setting_1),LAST(recordings.operational_setting_2),LAST(recordings.operational_setting_3),LAST(recordings.sensor_measurement_1),LAST(recordings.sensor_measurement_2),LAST(recordings.sensor_measurement_3),LAST(recordings.sensor_measurement_4),LAST(recordings.sensor_measurement_5),LAST(recordings.sensor_measurement_6),LAST(recordings.sensor_measurement_7),LAST(recordings.sensor_measurement_8),LAST(recordings.sensor_measurement_9),LAST(recordings.sensor_measurement_10),LAST(recordings.sensor_measurement_11),LAST(recordings.sensor_measurement_12),LAST(recordings.sensor_measurement_13),LAST(recordings.sensor_measurement_14),LAST(recordings.sensor_measurement_15),LAST(recordings.sensor_measurement_16),LAST(recordings.sensor_measurement_17),LAST(recordings.sensor_measurement_18),LAST(recordings.sensor_measurement_19),LAST(recordings.sensor_measurement_20),LAST(recordings.sensor_measurement_21),MAX(recordings.operational_setting_1),MAX(recordings.operational_setting_2),MAX(recordings.operational_setting_3),MAX(recordings.sensor_measurement_1),MAX(recordings.sensor_measurement_2),MAX(recordings.sensor_measurement_3),MAX(recordings.sensor_measurement_4),MAX(recordings.sensor_measurement_5),MAX(recordings.sensor_measurement_6),MAX(recordings.sensor_measurement_7),MAX(recordings.sensor_measurement_8),MAX(recordings.sensor_measurement_9),MAX(recordings.sensor_measurement_10),MAX(recordings.sensor_measurement_11),MAX(recordings.sensor_measurement_12),MAX(recordings.sensor_measurement_13),MAX(recordings.sensor_measurement_14),MAX(recordings.sensor_measurement_15),MAX(recordings.sensor_measurement_16),MAX(recordings.sensor_measurement_17),MAX(recordings.sensor_measurement_18),MAX(recordings.sensor_measurement_19),MAX(recordings.sensor_measurement_20),MAX(recordings.sensor_measurement_21),MIN(recordings.operational_setting_1),MIN(recordings.operational_setting_2),MIN(recordings.operational_setting_3),MIN(recordings.sensor_measurement_1),MIN(recordings.sensor_measurement_2),MIN(recordings.sensor_measurement_3),MIN(recordings.sensor_measurement_4),MIN(recordings.sensor_measurement_5),MIN(recordings.sensor_measurement_6),MIN(recordings.sensor_measurement_7),MIN(recordings.sensor_measurement_8),MIN(recordings.sensor_measurement_9),MIN(recordings.sensor_measurement_10),MIN(recordings.sensor_measurement_11),MIN(recordings.sensor_measurement_12),MIN(recordings.sensor_measurement_13),MIN(recordings.sensor_measurement_14),MIN(recordings.sensor_measurement_15),MIN(recordings.sensor_measurement_16),MIN(recordings.sensor_measurement_17),MIN(recordings.sensor_measurement_18),MIN(recordings.sensor_measurement_19),MIN(recordings.sensor_measurement_20),MIN(recordings.sensor_measurement_21),RUL
1,222,42.0007,0.84,100.0,445.0,549.39,1350.21,1109.78,3.91,5.69,138.61,2212.0,8321.04,1.02,41.77,129.9,2388.09,8084.32,9.2734,0.02,330,2212,100.0,10.72,6.4661,42.0079,0.842,100.0,518.67,642.87,1588.9,1404.99,14.62,21.59,555.3,2388.05,9058.65,1.3,47.43,523.27,2388.11,8145.99,10.9141,0.03,394,2388,100.0,39.25,23.5729,0.0001,0.0,60.0,445.0,535.85,1247.37,1028.79,3.91,5.69,136.97,1915.19,7994.03,0.93,36.24,129.38,2028.08,7859.86,8.343,0.02,303,1915,84.93,10.36,6.2597,99
2,99,9.9991,0.2515,100.0,489.05,604.63,1496.01,1299.39,10.52,15.49,395.13,2318.87,8773.01,1.26,45.16,371.18,2388.14,8128.65,8.5838,0.03,368,2319,100.0,28.74,17.1616,42.0079,0.842,100.0,518.67,642.88,1591.12,1406.87,14.62,21.61,555.0,2388.07,9056.19,1.3,47.47,522.54,2388.14,8138.46,10.9057,0.03,393,2388,100.0,39.15,23.4692,0.0,0.0,60.0,445.0,536.28,1249.22,1035.7,3.91,5.71,138.14,1915.24,8001.69,0.94,36.34,130.25,2028.13,7865.99,8.3646,0.02,304,1915,84.93,10.49,6.2534,200
3,222,25.0062,0.62,60.0,462.54,537.01,1261.16,1046.82,7.05,9.01,177.33,1915.47,8018.48,0.94,36.72,165.99,2028.41,7880.21,10.7462,0.02,308,1915,84.93,14.14,8.7261,42.0075,0.842,100.0,518.67,642.87,1594.42,1409.55,14.62,21.6,559.97,2388.14,9077.06,1.3,47.51,527.02,2388.3,8157.42,10.8552,0.03,393,2388,100.0,39.4,23.6131,0.0001,0.0,60.0,445.0,536.16,1244.8,1032.93,3.91,5.7,138.49,1915.33,8003.83,0.94,36.3,130.55,2028.2,7872.6,8.3104,0.02,304,1915,84.93,10.35,6.2715,85
4,114,0.0019,0.0001,100.0,518.67,642.51,1587.29,1411.45,14.62,21.61,552.76,2388.16,9062.38,1.3,47.48,521.39,2388.08,8142.1,8.3976,0.03,391,2388,100.0,38.82,23.283,42.008,0.8419,100.0,518.67,642.95,1596.26,1411.45,14.62,21.61,554.29,2388.16,9070.01,1.3,47.54,522.3,2388.19,8149.3,10.9442,0.03,394,2388,100.0,39.11,23.4354,0.0003,0.0,60.0,445.0,536.23,1251.29,1041.03,3.91,5.71,138.03,1915.28,8005.16,0.94,36.43,130.0,2028.21,7873.82,8.3876,0.02,305,1915,84.93,10.4,6.2707,160
5,166,0.0025,0.0015,100.0,518.67,643.11,1594.52,1419.09,14.62,21.61,551.78,2388.15,9093.6,1.3,47.83,520.78,2388.16,8167.18,8.5099,0.03,396,2388,100.0,38.62,23.0864,42.0072,0.8418,100.0,518.67,643.51,1603.77,1421.33,14.62,21.61,554.14,2388.21,9093.6,1.3,47.83,521.53,2388.43,8167.18,10.9693,0.03,396,2388,100.0,38.96,23.406,0.0,0.0,60.0,445.0,536.43,1258.26,1041.95,3.91,5.71,138.01,1915.1,7994.33,0.94,36.69,129.77,2027.97,7861.77,8.406,0.02,306,1915,84.93,10.32,6.2399,27
6,94,25.0062,0.62,60.0,462.54,536.32,1251.27,1045.66,7.05,9.0,175.56,1915.28,8002.69,0.94,36.44,164.25,2028.23,7872.35,10.896,0.02,305,1915,84.93,14.09,8.5194,42.0077,0.8419,100.0,518.67,642.22,1587.64,1404.57,14.62,21.58,554.44,2388.03,9063.62,1.3,47.28,522.62,2388.11,8141.54,10.8964,0.03,392,2388,100.0,39.24,23.4679,0.0003,0.0,60.0,445.0,535.8,1248.29,1033.07,3.91,5.69,137.37,1915.26,7994.96,0.94,36.28,129.61,2028.15,7863.94,8.3582,0.02,304,1915,84.93,10.51,6.291,237
7,75,25.0044,0.62,60.0,462.54,536.97,1266.79,1055.33,7.05,9.02,175.02,1915.19,8007.89,0.94,36.98,164.44,2028.1,7867.69,10.931,0.02,308,1915,84.93,14.39,8.506,42.0078,0.842,100.0,518.67,643.45,1600.27,1416.15,14.62,21.61,553.68,2388.2,9055.63,1.3,47.85,521.84,2388.22,8132.47,10.9516,0.03,395,2388,100.0,38.99,23.3742,0.0009,0.0,60.0,445.0,536.34,1257.81,1044.79,3.91,5.71,137.58,1915.16,7998.35,0.94,36.73,129.81,2028.05,7866.28,8.4168,0.02,306,1915,84.93,10.42,6.1822,146
8,171,10.0038,0.25,100.0,489.05,604.69,1495.85,1316.71,10.52,15.5,393.93,2318.97,8785.41,1.26,45.5,371.27,2388.23,8136.07,8.7112,0.03,371,2319,100.0,28.55,17.0266,42.0079,0.842,100.0,518.67,643.11,1595.23,1413.89,14.62,21.61,554.76,2388.15,9064.49,1.3,47.64,522.9,2388.23,8143.63,10.9239,0.03,395,2388,100.0,39.15,23.4885,0.0001,0.0,60.0,445.0,536.05,1255.53,1040.45,3.91,5.71,137.66,1915.19,7997.75,0.94,36.41,129.79,2028.01,7865.23,8.3747,0.02,305,1915,84.93,10.4,6.2557,59
9,89,42.007,0.84,100.0,445.0,549.04,1346.49,1120.25,3.91,5.71,138.7,2211.9,8327.15,1.02,41.8,130.64,2388.04,8084.85,9.2921,0.02,330,2212,100.0,10.7,6.3726,42.0077,0.8419,100.0,518.67,642.65,1585.77,1402.04,14.62,21.61,556.31,2388.07,9064.55,1.3,47.51,523.95,2388.11,8143.36,10.8598,0.03,392,2388,100.0,39.24,23.5392,0.0001,0.0,60.0,445.0,535.82,1251.87,1036.87,3.91,5.71,138.35,1915.27,8001.52,0.94,36.41,129.85,2028.18,7869.1,8.3386,0.02,305,1915,84.93,10.48,6.3019,245
10,250,41.9999,0.84,100.0,445.0,549.27,1344.5,1119.31,3.91,5.69,138.5,2212.05,8313.31,1.02,41.76,130.48,2388.1,8086.29,9.3391,0.02,329,2212,100.0,10.46,6.3667,42.0079,0.842,100.0,518.67,642.45,1588.77,1407.07,14.62,21.58,556.89,2388.05,9063.94,1.3,47.38,523.79,2388.16,8145.08,10.8978,0.03,392,2388,100.0,39.23,23.5429,0.0001,0.0,60.0,445.0,536.0,1246.86,1028.24,3.91,5.69,136.89,1915.2,7992.36,0.93,36.15,128.98,2028.03,7860.19,8.3228,0.02,303,1915,84.93,10.36,6.1709,104
11,163,25.0036,0.62,60.0,462.54,537.47,1269.79,1050.6,7.05,9.03,175.66,1915.33,8009.73,0.94,36.67,164.56,2028.22,7873.35,10.9208,0.02,307,1915,84.93,14.28,8.5071,42.0077,0.8419,100.0,518.67,642.91,1596.16,1413.21,14.62,21.61,554.39,2388.14,9065.72,1.3,47.77,522.26,2388.18,8141.95,10.9208,0.03,394,2388,100.0,38.96,23.422,0.0001,0.0,60.0,445.0,536.33,1251.39,1039.66,3.91,5.71,137.52,1915.21,8004.79,0.94,36.61,129.89,2028.12,7865.8,8.3909,0.02,305,1915,84.93,10.36,6.2444,138
12,248,20.0005,0.7,100.0,491.19,606.94,1491.35,1263.5,9.35,13.62,340.77,2324.37,8757.27,1.09,44.71,320.88,2388.54,8089.93,9.0913,0.03,366,2324,100.0,24.7,14.9526,42.0079,0.842,100.0,518.67,642.95,1598.66,1411.52,14.62,21.59,562.4,2388.26,9095.01,1.31,47.67,529.76,2388.54,8169.48,10.8885,0.03,395,2388,100.0,39.43,23.6061,0.0,0.0,60.0,445.0,536.05,1248.29,1036.0,3.91,5.69,137.0,1915.21,7996.57,0.93,36.22,129.31,2028.08,7864.87,8.2809,0.02,304,1915,84.93,10.35,6.2544,24
13,63,25.0025,0.62,60.0,462.54,536.86,1254.03,1048.51,7.05,9.02,176.04,1915.32,8006.28,0.94,36.36,164.42,2028.22,7873.14,10.8554,0.02,306,1915,84.93,14.34,8.6501,42.0078,0.8418,100.0,518.67,642.46,1588.64,1401.54,14.62,21.61,555.88,2388.05,9063.93,1.3,47.26,522.79,2388.07,8140.02,10.8645,0.03,393,2388,100.0,39.2,23.515,0.0002,0.0,60.0,445.0,536.0,1253.0,1040.6,3.91,5.71,137.89,1915.32,8004.03,0.94,36.27,130.48,2028.19,7872.67,8.3742,0.02,306,1915,84.93,10.51,6.29,193
14,15,9.999,0.2518,100.0,489.05,603.73,1487.09,1297.91,10.52,15.47,393.89,2318.65,8765.08,1.26,44.8,371.1,2387.87,8120.28,8.6134,0.03,367,2319,100.0,28.66,17.1799,42.0054,0.8406,100.0,518.67,642.03,1581.06,1396.78,14.62,21.6,553.23,2387.99,9046.3,1.3,47.12,521.15,2387.99,8135.89,10.8833,0.03,392,2388,100.0,39.01,23.4428,0.0017,0.0,60.0,445.0,536.57,1253.03,1034.62,3.91,5.7,137.97,1915.27,8002.23,0.94,36.38,130.21,2028.13,7869.92,8.388,0.02,304,1915,84.93,10.52,6.3081,238
15,14,35.0067,0.84,100.0,449.44,555.31,1363.27,1117.59,5.48,8.0,195.99,2223.05,8357.84,1.03,41.81,184.4,2388.16,8071.78,9.2179,0.02,334,2223,100.0,15.09,8.9558,42.0038,0.84,100.0,518.67,642.12,1590.44,1399.98,14.62,21.61,556.31,2388.04,9061.53,1.3,47.36,524.83,2388.17,8145.07,9.2574,0.03,391,2388,100.0,39.17,23.5249,0.0017,0.0,100.0,445.0,549.13,1348.67,1115.39,3.91,5.71,139.72,2212.04,8323.83,1.03,41.81,131.06,2388.04,8065.72,8.3674,0.02,328,2212,100.0,10.59,6.3405,210
16,184,42.0052,0.84,100.0,445.0,551.4,1363.49,1151.83,3.91,5.72,138.48,2212.76,8384.79,1.03,42.64,130.71,2388.87,8135.62,9.4114,0.02,332,2212,100.0,10.48,6.3492,42.0077,0.8419,100.0,518.67,643.83,1599.77,1428.03,14.62,21.61,553.61,2388.21,9122.22,1.3,48.0,521.8,2388.9,8188.03,11.0208,0.03,397,2388,100.0,38.95,23.3613,0.0,0.0,60.0,445.0,536.24,1255.09,1042.83,3.91,5.71,137.98,1915.1,7996.73,0.93,36.65,130.0,2027.96,7857.47,8.4143,0.02,306,1915,84.93,10.32,6.2345,0
17,136,25.003,0.62,60.0,462.54,536.77,1266.33,1053.72,7.05,9.02,175.48,1915.06,8001.54,0.94,37.27,164.16,2027.96,7857.57,10.947,0.02,309,1915,84.93,14.12,8.5131,42.0079,0.8419,100.0,518.67,643.05,1596.54,1420.46,14.62,21.61,555.07,2388.23,9060.84,1.3,47.8,522.62,2388.27,8140.42,10.9602,0.03,395,2388,100.0,39.12,23.4717,0.0,0.0,60.0,445.0,535.93,1253.68,1034.13,3.91,5.71,137.86,1915.06,7999.68,0.94,36.39,130.01,2027.92,7857.57,8.3734,0.02,305,1915,84.93,10.26,6.2283,15
18,279,34.9986,0.84,100.0,449.44,555.45,1367.81,1130.53,5.48,7.96,195.35,2223.2,8369.14,1.03,42.02,184.19,2388.39,8082.69,9.1979,0.02,335,2223,100.0,15.0,8.9572,42.0078,0.842,100.0,518.67,642.91,1597.12,1408.81,14.62,21.58,559.01,2388.14,9075.29,1.31,47.61,526.26,2388.39,8155.87,10.8858,0.03,394,2388,100.0,39.32,23.5639,0.0,0.0,60.0,445.0,535.9,1247.89,1035.03,3.91,5.69,137.57,1915.28,7997.25,0.93,36.25,129.86,2028.18,7862.19,8.3169,0.02,304,1915,84.93,10.4,6.2493,64
19,29,20.0062,0.7,100.0,491.19,607.65,1490.71,1252.31,9.35,13.66,334.2,2323.93,8709.37,1.08,44.49,315.15,2388.04,8054.57,9.2399,0.02,365,2324,100.0,24.49,14.7115,42.0078,0.8418,100.0,518.67,642.73,1592.4,1415.76,14.62,21.61,554.03,2388.19,9048.16,1.3,47.54,521.25,2388.23,8124.62,10.9352,0.03,394,2388,100.0,38.9,23.2936,0.0005,0.0,60.0,445.0,536.86,1264.84,1053.17,3.91,5.71,137.89,1915.16,8000.87,0.94,36.68,129.74,2027.99,7865.26,8.41,0.02,309,1915,84.93,10.52,6.2559,181
20,166,42.0065,0.8404,100.0,445.0,549.33,1353.47,1128.81,3.91,5.72,138.86,2211.99,8332.74,1.02,42.24,130.0,2388.04,8092.02,9.4182,0.02,334,2212,100.0,10.51,6.2796,42.0079,0.8419,100.0,518.67,643.14,1595.86,1420.64,14.62,21.61,554.21,2388.17,9066.88,1.3,47.85,522.65,2388.21,8142.81,10.9569,0.03,395,2388,100.0,38.94,23.4296,0.0,0.0,60.0,445.0,536.35,1254.28,1044.27,3.91,5.71,137.82,1915.24,7998.66,0.94,36.57,129.93,2028.09,7864.97,8.387,0.02,306,1915,84.93,10.41,6.2658,79
21,93,42.0006,0.84,100.0,445.0,548.93,1349.5,1125.58,3.91,5.7,139.14,2212.01,8325.36,1.03,41.86,131.36,2388.09,8091.9,9.3181,0.02,330,2212,100.0,10.7,6.3225,42.007,0.8419,100.0,518.67,642.63,1593.31,1404.37,14.62,21.6,557.37,2388.12,9067.32,1.3,47.4,524.79,2388.17,8149.06,10.8547,0.03,393,2388,100.0,39.24,23.6432,0.0001,0.0,60.0,445.0,535.97,1253.02,1035.92,3.91,5.7,138.57,1915.38,8004.07,0.94,36.46,130.27,2028.22,7874.15,8.3425,0.02,303,1915,84.93,10.37,6.2603,134
