"","vimp.df.order..vimp.df...."
"Days_In_Service_max",62.8226426109097
"Days_In_Service_mean",60.2271628879736
"Days_In_Service_min",53.3733558485255
"Days_In_Service_rms",40.5511995168591
"Days_In_Service",40.286119869076
"Days_In_Service_norm_rms",39.4792272482376
"Days_In_Service_norm_mean",17.3927981755828
"Days_In_Service_norm",12.5400993283717
"Days_In_Service_norm_min",11.2035876273806
"smart_4_raw_max",6.71663478301535
"Days_In_Service_norm_var",6.0595991337765
"smart_4_raw_rms",5.29347762449296
"smart_12_raw_rms",5.16107265891285
"smart_193_raw_rms",4.63026151235387
"smart_193_raw_min",4.09979584504477
"smart_12_raw",4.04958112214903
"smart_4_raw_min",4.00323084947303
"smart_4_raw",3.77510764027272
"smart_193_raw_max",3.7254128512476
"smart_12_raw_max",3.67147802953955
"smart_4_raw_mean",2.99452261628337
"smart_193_raw_mean",2.86993020104947
"smart_12_raw_min",2.85421888206381
"Days_In_Service_norm_max",2.81114834671082
"smart_194_raw_skew",2.7310329454892
"smart_12_raw_mean",2.58342160210244
"smart_193_raw",2.50428555249341
"smart_3_raw_mean",2.20807409899666
"smart_3_raw_rms",1.90763052982858
"smart_3_raw_min",1.86136514068992
"smart_3_raw",1.63881241203472
"Days_In_Service_var",1.58268563474613
"smart_3_raw_max",1.57902126474768
"smart_194_raw_var",1.3748367965368
"smart_194_raw_rms",1.1653476250874
"smart_194_raw_min",1.14835824531351
"smart_194_raw_p2p",0.898246214098118
"smart_194_raw_mean",0.865283874796309
"smart_192_raw_mean",0.747750215264076
"smart_194_raw_kurt",0.676279213662381
"smart_192_raw_min",0.629073400441629
"smart_192_raw",0.58617476077792
"smart_194_raw_max",0.556924824314846
"smart_192_raw_max",0.537688787467051
"smart_194_raw",0.464973434662467
"smart_192_raw_rms",0.463341297845098
"Days_In_Service_skew",0.255051646076902
"smart_12_raw_var",0.135424188338957
"Days_In_Service_kurt",0.120439944172314
"Days_In_Service_norm_p2p",0.104021860694736
"smart_1_raw",0.0922860601752337
"smart_1_raw_mean",0.0585115720562719
"smart_1_raw_max",0.0578376118517003
"smart_1_raw_min",0.0314578354678432
"Days_In_Service_norm_kurt",0.0214365505557691
"smart_1_raw_rms",0.00869887966971277
"smart_3_raw_p2p",0.00673693408821023
"smart_193_raw_var",0.00246224881086086
"smart_3_raw_var",0.00197438785599253
"smart_12_raw_skew",0.00187905672369908
"smart_193_raw_skew",0.00106209638497106
"smart_12_raw_p2p",0.000870616583173245
"smart_193_raw_p2p",0.00082155082571731
"smart_4_raw_kurt",0.000568731942031775
"smart_3_raw_kurt",0.000551087922742965
"smart_4_raw_p2p",-1.71536796536031e-05
"smart_3_raw_skew",-0.000400064133397393
"smart_193_raw_kurt",-0.000992457372558775
"smart_4_raw_var",-0.00104722222222229
"smart_4_raw_skew",-0.00115592792191386
"Days_In_Service_p2p",-0.00179665440169963
"smart_12_raw_kurt",-0.0018034903619931
"Days_In_Service_norm_skew",-0.0193638809267458
