"","vimp.df.order..vimp.df...."
"smart_2_raw",21117.2698504999
"smart_2_raw_max",19645.7526568149
"smart_2_raw_min",17585.5028087446
"smart_3_raw_min",5762.20659397626
"smart_2_raw_rms",5394.99368998606
"smart_2_raw_mean",4014.93027205818
"smart_3_raw",2982.03911685542
"smart_3_raw_rms",2151.2939623393
"Days_In_Service_max",1324.6057004822
"Days_In_Service",1076.0784421356
"Days_In_Service_rms",1041.49693668619
"Days_In_Service_min",1002.35245783426
"smart_12_raw_max",979.244558488055
"Days_In_Service_mean",949.367059856363
"smart_12_raw",809.829562169572
"Reallocation_Event_Count_rms",753.993674291286
"smart_4_raw",738.742194939636
"smart_12_raw_mean",725.545112039591
"Reallocation_Event_Count_max",704.240695272985
"Reallocated_Sector_Count_max",693.64484900575
"smart_3_raw_mean",667.440374060984
"smart_3_raw_max",652.848350671391
"Days_In_Service_norm_var",633.397891346431
"Reallocated_Sector_Count_min",611.711155766557
"Reallocated_Sector_Count_rms",610.982043761444
"Reallocation_Event_Count",586.463714853756
"smart_4_raw_max",578.067202395899
"smart_2_raw_var",563.745234584014
"Days_In_Service_norm_min",542.309381065819
"Reallocated_Sector_Count",520.165539535699
"Reallocation_Event_Count_min",480.614242443651
"Reallocated_Sector_Count_mean",453.43870169891
"Reallocation_Event_Count_mean",444.97581448265
"Current_Pending_Sector_Count_mean",443.734388270923
"smart_193_raw",377.142474124306
"smart_193_raw_max",361.677831156035
"Days_In_Service_norm_mean",316.714191409972
"smart_192_raw_max",305.196067076993
"smart_194_raw_mean",304.48065164475
"smart_194_raw_max",300.760597226782
"smart_193_raw_min",292.160081846196
"smart_4_raw_rms",286.994623366811
"smart_12_raw_var",273.783822247664
"smart_194_raw_rms",255.785319306815
"smart_193_raw_mean",254.780419634855
"smart_192_raw_mean",253.340732150701
"smart_12_raw_rms",251.416078640773
"smart_192_raw_rms",251.148053559544
"Current_Pending_Sector_Count_min",250.094016197133
"smart_193_raw_rms",237.028601249801
"Days_In_Service_norm_rms",233.002650908875
"smart_12_raw_min",220.058344865735
"smart_4_raw_mean",201.175881095408
"Reallocated_Sector_Count_var",197.485139929823
"smart_192_raw",196.091263750273
"Days_In_Service_norm",185.045874371162
"smart_192_raw_min",174.103840247718
"smart_194_raw_min",173.959801994934
"smart_2_raw_p2p",139.337904647119
"smart_4_raw_var",113.734540293526
"smart_4_raw_min",107.641479029551
"smart_8_raw_mean",96.908787063315
"smart_194_raw",86.6086991789116
"smart_193_raw_var",79.1990471537172
"smart_8_raw_min",68.4476436626923
"Days_In_Service_norm_max",66.2633258518728
"smart_8_raw_rms",56.3994051339049
"smart_8_raw_max",39.9578387476388
"Reallocation_Event_Count_var",37.5348159292816
"Days_In_Service_kurt",37.2381233821011
"smart_1_raw_skew",36.1632252553192
"smart_192_raw_var",36.0466754294726
"smart_1_raw_var",33.4045183446992
