"","vimp.df.order..vimp.df...."
"smart_2_raw_max",2203.59961588379
"smart_4_raw_max",1670.11088996579
"Days_In_Service_var",1553.83458133585
"smart_4_raw",1486.38971147989
"smart_12_raw",1358.35347841406
"smart_12_raw_max",1201.98543994656
"smart_193_raw_max",1003.1541236867
"smart_192_raw",978.113840240695
"smart_12_raw_mean",879.013855477477
"smart_2_raw",834.622062992082
"smart_193_raw_min",786.437066986272
"smart_192_raw_max",737.029153537442
"smart_4_raw_rms",648.059749491543
"Days_In_Service_max",646.722708137915
"smart_2_raw_min",618.152580069019
"smart_4_raw_mean",608.186062258789
"smart_193_raw",607.847454074603
"smart_192_raw_mean",602.764205310621
"smart_192_raw_var",598.710942998953
"smart_2_raw_mean",596.792114268331
"smart_193_raw_mean",579.667969207832
"smart_12_raw_rms",556.285283549211
"smart_193_raw_rms",550.242161259499
"smart_192_raw_rms",527.980187647865
"Days_In_Service_rms",520.093365059348
"smart_192_raw_min",479.210114001682
"Days_In_Service_min",472.05476961803
"Days_In_Service_mean",458.980085999174
"smart_2_raw_rms",429.806150982566
"Days_In_Service",385.633696522667
"smart_4_raw_min",346.498019484947
"smart_194_raw_max",344.250413235584
"Current_Pending_Sector_Count_mean",320.958795052434
"smart_193_raw_var",317.401993577855
"smart_3_raw_max",309.151020293625
"Current_Pending_Sector_Count",298.809872305049
"Reallocation_Event_Count",276.166208015708
"smart_12_raw_min",209.509191697735
"Reallocation_Event_Count_rms",207.006699093299
"Current_Pending_Sector_Count_rms",201.461640970827
"Reallocated_Sector_Count_rms",193.228673180392
"smart_194_raw_min",186.79358511393
"Reallocation_Event_Count_max",167.51906152576
"Reallocated_Sector_Count",160.953501775182
"Reallocated_Sector_Count_mean",160.307319591464
"Reallocation_Event_Count_min",143.580119413909
"Current_Pending_Sector_Count_max",143.078804744572
"Reallocated_Sector_Count_max",132.14300441545
"smart_194_raw_rms",126.758412703359
"Reallocation_Event_Count_mean",125.750405767608
"Days_In_Service_norm_rms",124.368666729846
"Days_In_Service_kurt",109.864410475603
"Reallocated_Sector_Count_min",109.538156188967
"Days_In_Service_norm",105.114051861286
"smart_194_raw_mean",104.916638791863
"smart_194_raw",101.496685118706
"smart_3_raw",95.6747951094927
"Days_In_Service_norm_min",84.1361696545328
"smart_3_raw_rms",81.6731599571723
"smart_193_raw_p2p",81.1139768700848
"smart_192_raw_p2p",77.8912971574633
"Days_In_Service_norm_max",75.3055497501348
"Days_In_Service_norm_mean",72.5998857698542
"smart_7_raw_var",59.8665042440035
"Current_Pending_Sector_Count_min",52.6930548270309
"smart_3_raw_mean",47.9331963601406
"Days_In_Service_skew",39.9742413385848
"smart_192_raw_kurt",27.0970490011474
"smart_8_raw_max",26.8985573062549
"smart_3_raw_min",26.1154554825431
"smart_8_raw_mean",20.3437704181421
"smart_8_raw_rms",18.6117772903203
"smart_4_raw_var",18.5730174465485
"smart_3_raw_var",17.6240679108302
"smart_194_raw_var",15.3809168376942
"Reallocated_Sector_Count_var",15.0169829707202
"Current_Pending_Sector_Count_var",14.8775670321948
"smart_8_raw_var",14.2935239772974
"smart_1_raw_mean",13.8500164730798
"smart_2_raw_var",13.6012911622616
"Reallocation_Event_Count_var",12.5166854969847
"smart_194_raw_p2p",11.2181456044059
"smart_1_raw_p2p",9.09850763017724
"smart_1_raw_var",8.49887401138083
"smart_193_raw_kurt",8.25735743495177
"smart_8_raw_min",7.73290576969071
"smart_1_raw_skew",6.50139833482375
"smart_1_raw_max",5.9112257635077
"smart_2_raw_p2p",5.67829758394783
"smart_1_raw_kurt",5.12623401808489
"smart_1_raw_rms",3.78084592249679
"Spin_Retry_Count_var",3.42655453356832
"smart_12_raw_var",3.04105048284467
"smart_2_raw_skew",3.0287205531662
"smart_8_raw",3.01926465110833
"Reallocation_Event_Count_norm",2.914458242788
"Spin_Retry_Count_mean",2.79411817836858
"Reallocation_Event_Count_norm_min",2.7704990723454
"Spin_Retry_Count_max",2.70010160783532
"smart_1_raw",2.14508915197223
"smart_194_raw_kurt",2.12401529309489
"Reallocation_Event_Count_norm_rms",2.09176468628545
"smart_8_raw_skew",1.93693907622335
"smart_8_raw_p2p",1.90518632622651
"smart_194_raw_skew",1.72608423884541
"Spin_Retry_Count_norm_p2p",1.70179024171866
"Spin_Retry_Count_rms",1.67535083912613
"Reallocation_Event_Count_norm_max",1.59791892257508
"Reallocation_Event_Count_norm_mean",1.59028723261939
"Reallocated_Sector_Count_norm",1.4723490644709
"Reallocated_Sector_Count_p2p",1.15277547815882
"Spin_Retry_Count_min",1.13767306782073
"Reallocated_Sector_Count_norm_rms",1.09284752219823
"Reallocation_Event_Count_skew",1.04203749893105
"Days_In_Service_p2p",0.973367418361307
"Spin_Retry_Count",0.897339713616219
"Spin_Retry_Count_norm_rms",0.868332749476669
"Reallocation_Event_Count_p2p",0.862061919244663
"smart_2_raw_kurt",0.845986274177686
"smart_7_raw_mean",0.834534019403057
"Spin_Retry_Count_norm_mean",0.817793840447958
"Current_Pending_Sector_Count_kurt",0.809992744907481
"Spin_Retry_Count_norm_var",0.808955052608402
"Reallocated_Sector_Count_norm_mean",0.773591350425934
"Reallocated_Sector_Count_norm_min",0.756613627914549
"smart_7_raw_p2p",0.618544931490479
"Reallocated_Sector_Count_norm_max",0.584098030836503
"Spin_Retry_Count_norm_min",0.556272142482703
"Current_Pending_Sector_Count_skew",0.525698674842059
"smart_7_raw_max",0.510105928771992
"Spin_Retry_Count_p2p",0.435034653763612
"smart_192_raw_skew",0.395526408978734
"smart_8_raw_kurt",0.393405629737732
"Spin_Retry_Count_norm",0.357520553532793
"smart_193_raw_skew",0.330324781548939
"smart_7_raw_skew",0.304207344754311
"Spin_Retry_Count_norm_max",0.229529818967059
"Reallocated_Sector_Count_kurt",0.224950064403564
"smart_12_raw_skew",0.213400219155204
"Current_Pending_Sector_Count_p2p",0.185255322302771
"Days_In_Service_norm_var",0.174949828401795
"smart_3_raw_p2p",0.164479668473991
"smart_7_raw_rms",0.146957928634955
"smart_4_raw_skew",0.145988183692462
"smart_12_raw_p2p",0.103722119310267
"Reallocated_Sector_Count_skew",0.100582990368165
"Days_In_Service_norm_p2p",0.0964989525991864
"Spin_Retry_Count_skew",0.0962269037160077
"Reallocation_Event_Count_norm_p2p",0.0914565307620492
"smart_7_raw_kurt",0.0912173985383983
"smart_1_raw_min",0.0544669610484192
"Spin_Retry_Count_kurt",0.0517155870691763
"Spin_Retry_Count_norm_skew",0.0511741146932742
"smart_3_raw_skew",0.0447760854837462
"smart_4_raw_p2p",0.0406478105551891
"Reallocation_Event_Count_kurt",0.0276012923854601
"Reallocation_Event_Count_norm_skew",0.0247078944783574
"Spin_Retry_Count_norm_kurt",0.0239040834687927
"Reallocated_Sector_Count_norm_var",0.0230642126261611
"smart_4_raw_kurt",0.0211447118947312
"Reallocated_Sector_Count_norm_p2p",0.0192869690333204
"Reallocation_Event_Count_norm_var",0.0136570047053894
"smart_3_raw_kurt",0.00608292377382469
"Days_In_Service_norm_kurt",0.0039174144830497
"Current_Pending_Sector_Count_norm_rms",0.0038426689653555
"smart_12_raw_kurt",0.000667440031133282
"Days_In_Service_norm_skew",0.000311302460269047
"Reallocation_Event_Count_norm_kurt",0.000155717867723126
"Reallocated_Sector_Count_norm_kurt",3.38215177869472e-05
"smart_7_raw",0
"Current_Pending_Sector_Count_norm",0
"Current_Pending_Sector_Count_norm_p2p",0
"Current_Pending_Sector_Count_norm_min",0
"Current_Pending_Sector_Count_norm_kurt",0
"Current_Pending_Sector_Count_norm_skew",0
"Current_Pending_Sector_Count_norm_mean",0
"Current_Pending_Sector_Count_norm_var",0
"Reallocated_Sector_Count_norm_skew",-0.000537365983991123
