"","vimp.df.order..vimp.df...."
"Days_In_Service_norm_var",694.444938148785
"smart_3_raw_min",624.387503814151
"Days_In_Service_norm_mean",579.067788468933
"smart_3_raw_mean",519.432174610268
"smart_4_raw_var",514.350840999959
"smart_3_raw_rms",502.825927451455
"smart_3_raw_max",495.582108625032
"smart_194_raw_mean",488.244865530121
"smart_194_raw_rms",485.426122803414
"smart_12_raw_var",448.061447262343
"Days_In_Service",433.37530251525
"smart_3_raw",418.906231510406
"smart_194_raw_min",413.541452952316
"Days_In_Service_rms",407.526175680312
"Days_In_Service_mean",394.429534274012
"smart_194_raw_max",376.217806998763
"Days_In_Service_min",359.362549177893
"Days_In_Service_max",327.592314042686
"smart_12_raw_min",283.443192199288
"smart_4_raw_min",252.19779623083
"Reallocation_Event_Count_norm_min",211.832922833961
"Reallocation_Event_Count_norm_max",203.37485502393
"smart_4_raw_max",193.341026357718
"smart_4_raw_rms",186.08588890295
"smart_12_raw_mean",181.523597789921
"Reallocation_Event_Count_min",178.515607258292
"smart_12_raw_rms",173.366718503758
"smart_4_raw_mean",169.580025862396
"Reallocated_Sector_Count_norm_min",151.689912567937
"Reallocated_Sector_Count_norm_max",151.352011945356
"smart_2_raw_max",143.640647883018
"Reallocated_Sector_Count",142.052273112459
"smart_4_raw",141.589324735333
"Reallocation_Event_Count_max",133.727069810966
"Current_Pending_Sector_Count_max",127.77732050895
"smart_12_raw",125.346778889285
"Reallocated_Sector_Count_max",124.852777455229
"Current_Pending_Sector_Count_rms",116.879081521311
"Current_Pending_Sector_Count_mean",115.849689363939
"Reallocated_Sector_Count_norm",114.309305076325
"Reallocated_Sector_Count_min",113.831327614385
"Reallocation_Event_Count",104.371476204184
"smart_12_raw_max",103.660207196561
"smart_2_raw_min",102.351952666505
"smart_2_raw",100.264609630085
"smart_192_raw_min",94.0807520339356
"smart_193_raw",93.8090439490409
"smart_193_raw_mean",89.7163063360039
"Reallocation_Event_Count_norm_rms",88.4439369427438
"smart_8_raw_min",88.3583462506245
"Reallocated_Sector_Count_norm_mean",85.6814351104205
"smart_192_raw_max",85.000558512023
"Reallocation_Event_Count_norm",84.6413289909572
"smart_8_raw_mean",83.6991165068748
"Reallocation_Event_Count_rms",82.1617592045646
"smart_193_raw_rms",79.397892885202
"smart_193_raw_max",76.7657101555561
"Days_In_Service_norm_rms",76.642932161165
"Reallocated_Sector_Count_mean",76.4728484272012
"Days_In_Service_norm_max",73.7179562951492
"smart_192_raw",73.649482719357
"Reallocation_Event_Count_mean",73.2510285485455
"smart_2_raw_rms",71.0764567958821
"smart_192_raw_mean",70.254389569114
"smart_192_raw_rms",70.2108387698099
"smart_2_raw_var",69.9494245150946
"Reallocated_Sector_Count_rms",68.2641634200978
"Current_Pending_Sector_Count",67.8912499808069
"Days_In_Service_norm_min",64.4926406617298
"smart_2_raw_mean",63.4717337131642
"Current_Pending_Sector_Count_min",60.2806516730971
"Reallocated_Sector_Count_norm_rms",59.6854836230783
"smart_193_raw_min",57.2035826544743
"smart_194_raw",56.957259921623
"smart_8_raw_rms",54.3147345362584
"smart_1_raw_max",49.2034455769224
"Days_In_Service_norm",45.5461819006865
"Reallocation_Event_Count_var",45.2252694156054
"smart_8_raw_max",43.9393155021749
"smart_1_raw_p2p",42.2620767553508
"smart_193_raw_var",38.595861369183
"smart_8_raw",37.7214966297275
"smart_1_raw_rms",36.2127444962488
"smart_3_raw_var",36.0800508665925
"smart_199_raw_max",36.0291910883324
"Days_In_Service_kurt",34.7418114200191
"smart_199_raw_mean",34.1762801657447
"Reallocation_Event_Count_norm_mean",32.7954755660006
"smart_1_raw_var",30.5092437099042
"smart_199_raw_min",29.038050621314
"smart_199_raw_rms",23.2075656474711
"Current_Pending_Sector_Count_var",22.913805926194
"smart_199_raw",21.071444448891
"smart_1_raw_mean",19.7885138214904
