"","vimp.df.order..vimp.df...."
"Reallocated_Sector_Count_max",1720.0859285401
"smart_192_raw_mean",1688.21336162399
"Reallocated_Sector_Count",1652.34313998332
"smart_12_raw_mean",1560.52854411774
"Reallocation_Event_Count_rms",1452.82138114635
"Reallocation_Event_Count",1443.7024681035
"Reallocation_Event_Count_max",1400.49325220924
"Reallocated_Sector_Count_rms",1366.28632825555
"Reallocation_Event_Count_min",1335.81920380466
"Reallocated_Sector_Count_min",1222.44855712389
"smart_192_raw_min",1136.95818619299
"smart_4_raw_min",1125.11578887475
"smart_4_raw_mean",979.791374953794
"smart_12_raw_min",918.333428727202
"Reallocated_Sector_Count_mean",826.209634972379
"Reallocation_Event_Count_mean",789.098382538655
"smart_193_raw_mean",717.063259866494
"Current_Pending_Sector_Count_max",637.636510196405
"smart_3_raw_min",616.644369008428
"Current_Pending_Sector_Count_mean",586.060479831632
"Days_In_Service",579.377848750189
"Days_In_Service_mean",561.293362557271
"Current_Pending_Sector_Count_rms",546.758528253372
"Days_In_Service_max",540.381894858939
"Days_In_Service_var",509.706831521025
"Days_In_Service_min",495.531239741208
"smart_4_raw_var",478.479700659249
"smart_193_raw_min",466.736796500447
"Days_In_Service_rms",451.163686992534
"smart_192_raw_rms",439.570709453128
"smart_3_raw_max",385.305189062322
"smart_3_raw",385.065325386601
"smart_4_raw_rms",340.445120989082
"smart_1_raw_max",312.847917518556
"smart_193_raw",279.421503284391
"smart_192_raw",277.798198910365
"smart_3_raw_mean",270.878555403056
"smart_1_raw_var",264.657818433467
"smart_193_raw_rms",247.844156131151
"smart_193_raw_max",232.040208783201
"smart_2_raw_max",215.23375160895
"smart_12_raw_var",213.32769355069
"smart_12_raw_rms",210.278073194566
"smart_3_raw_rms",209.850644705695
"Current_Pending_Sector_Count",205.839308263809
"smart_1_raw_p2p",204.313241885359
"smart_1_raw_mean",189.984239269631
"smart_1_raw_rms",168.619009116753
"Days_In_Service_norm",159.9542163371
"smart_192_raw_max",151.717824333851
"smart_2_raw_rms",146.915086708489
"smart_2_raw_min",132.09506211235
"Days_In_Service_norm_mean",131.489258759055
"Days_In_Service_norm_rms",120.977798488042
"Days_In_Service_norm_min",119.36490354281
"smart_8_raw_mean",94.3962293053161
"smart_2_raw_var",92.2983054172663
"smart_194_raw_min",84.46343145362
"smart_1_raw_min",83.9733037305714
"smart_8_raw_min",80.579083131087
"smart_8_raw_rms",79.1443222390518
"Reallocated_Sector_Count_norm",76.1672250984026
"smart_4_raw",73.2139314230061
"smart_194_raw_mean",66.1594058384653
"smart_194_raw_max",61.9116219687458
"smart_12_raw",59.5199865971201
"smart_2_raw",58.167803461797
"Reallocated_Sector_Count_norm_mean",55.4296692288576
"smart_12_raw_max",53.4240610763286
"smart_2_raw_mean",53.405930456267
"smart_194_raw_rms",43.4096917453849
"smart_8_raw_max",40.0311459706598
"smart_8_raw",39.1407890055395
"Reallocation_Event_Count_norm_min",38.3699119233521
"Days_In_Service_norm_max",37.2513255675902
"smart_199_raw_rms",32.7658372817964
"smart_8_raw_var",32.3011044946041
"smart_4_raw_max",30.291999119936
"smart_193_raw_var",27.7863981644785
