"","vimp.df.order..vimp.df...."
"smart_194_raw_min",118.712168311729
"smart_194_raw_max",109.913541813247
"smart_12_raw_var",84.6962088863716
"smart_4_raw_var",78.0118667537847
"Reallocated_Sector_Count_var",74.6211251756664
"smart_194_raw_rms",69.1980014227627
"smart_3_raw_max",62.8896289632062
"Current_Pending_Sector_Count_max",60.2583419035415
"smart_3_raw_min",55.9106254101434
"smart_1_raw_var",55.7790606283738
"Days_In_Service",55.4814368936617
"smart_1_raw_rms",54.0469750402695
"smart_1_raw_mean",53.2484170009004
"Days_In_Service_max",52.112648152142
"Days_In_Service_mean",52.0540414432471
"smart_194_raw_mean",51.0526404263567
"smart_3_raw",50.8344595384289
"Days_In_Service_min",49.0582378982905
"smart_3_raw_mean",48.8742802762153
"smart_4_raw_max",48.6603654295982
"smart_4_raw_rms",47.3878335806833
"smart_12_raw",46.6172095228613
"smart_3_raw_rms",46.3218315287101
"smart_4_raw_min",43.7088735309435
"smart_12_raw_max",43.6771827102995
"Reallocation_Event_Count_var",42.7084853203603
"smart_4_raw_mean",40.9422260096353
"smart_1_raw_max",40.3949213685608
"Days_In_Service_rms",40.1649614151305
"smart_12_raw_min",39.6235968018455
"smart_1_raw_p2p",38.9097603668747
"smart_4_raw",38.3270744353974
"smart_193_raw",37.8827910303061
"smart_12_raw_mean",36.2217819436471
"smart_12_raw_rms",35.4194918724809
"smart_193_raw_min",34.8101848070185
"smart_193_raw_mean",33.5464521942886
"smart_192_raw_mean",33.0538052815056
"smart_192_raw_max",31.4122005856656
"smart_193_raw_rms",30.2701743136708
"smart_192_raw",30.0839573418222
"smart_192_raw_min",29.7304657770288
"smart_193_raw_max",29.4024631745343
"smart_192_raw_rms",28.7728826789823
"Days_In_Service_norm_mean",27.9574270248635
"Current_Pending_Sector_Count_rms",27.8075976968579
"Current_Pending_Sector_Count_mean",26.0454487459849
"Current_Pending_Sector_Count",23.6711032140776
"Current_Pending_Sector_Count_min",23.0195114315097
"Reallocation_Event_Count",22.5185088366129
"Reallocation_Event_Count_max",22.3526623057735
