"","vimp.df.order..vimp.df...."
"smart_242_raw_max",1804.03840425911
"smart_242_raw_min",1660.63426242233
"smart_242_raw",1649.57775695794
"smart_242_raw_rms",1340.03429733202
"smart_242_raw_mean",1142.42866641798
"smart_193_raw_min",582.374366619289
"smart_193_raw_max",561.622823653511
"Command_Timeout_mean",535.442613304594
"Days_In_Service",509.445747576579
"Offline_Uncorrectable_max",501.338290035318
"Current_Pending_Sector_Count_max",486.098317487259
"Days_In_Service_norm_mean",485.13178525582
"smart_193_raw_mean",477.112352357142
"Days_In_Service_max",469.277708660396
"Days_In_Service_mean",457.446938602287
"smart_4_raw_rms",431.136111637393
"Command_Timeout_rms",375.640789524647
"smart_12_raw_mean",361.875908921103
"Days_In_Service_min",357.265811223279
"Days_In_Service_norm_max",350.581760964736
"smart_4_raw_max",347.475025326035
"smart_4_raw_var",339.671375947911
"smart_193_raw",335.339936644457
"smart_12_raw_min",327.088445833084
"Current_Pending_Sector_Count_mean",324.993790788739
"smart_240_raw_rms",321.9934071022
"smart_4_raw_mean",315.486248171271
"smart_12_raw",315.038458986477
"smart_4_raw",314.47860605641
"smart_193_raw_rms",310.665707727034
"smart_240_raw_mean",296.779430078387
"smart_240_raw",276.05538839596
"smart_241_raw_min",275.846177982707
"Days_In_Service_norm_rms",274.731382244063
"smart_4_raw_min",273.990641445398
"Current_Pending_Sector_Count_var",273.711122654391
"smart_12_raw_max",271.262335390241
"smart_240_raw_min",270.740303272424
"Days_In_Service_norm",269.483098758409
"smart_241_raw",268.171204978859
"smart_240_raw_max",266.520843271122
"Offline_Uncorrectable_rms",265.454810646952
"Current_Pending_Sector_Count_rms",263.41962313323
"Days_In_Service_norm_min",246.30059292314
"Command_Timeout_max",238.770513864912
"Offline_Uncorrectable",237.6403744919
"Command_Timeout_min",233.108071286746
"smart_241_raw_mean",232.143281325831
"smart_12_raw_rms",229.648161005465
"Offline_Uncorrectable_var",227.299302217544
"smart_241_raw_rms",221.772213030125
"Current_Pending_Sector_Count",218.403383133979
"smart_241_raw_max",213.85231300178
"smart_7_raw_rms",212.93660554867
"smart_7_raw_min",207.707283845979
"Days_In_Service_rms",205.540120933925
"Command_Timeout",185.99670128128
"smart_12_raw_var",174.719968172571
"smart_7_raw_mean",172.406945560239
"Offline_Uncorrectable_mean",170.466671483542
"Days_In_Service_norm_var",161.637550491809
"Reported_Uncorrectable_Errors_mean",149.16785352729
"smart_7_raw",148.79057383875
"smart_7_raw_max",142.543322919689
"smart_190_raw_mean",141.184668530114
"smart_189_raw_min",139.320007231698
"Reported_Uncorrectable_Errors_norm",138.449297812316
"smart_183_raw_mean",131.959343349223
"Reported_Uncorrectable_Errors_rms",111.388105840445
"smart_190_raw_min",102.691401954591
"Reported_Uncorrectable_Errors_norm_mean",102.348542062358
"smart_183_raw",101.415797511373
"smart_183_raw_max",98.7920447315983
"smart_194_raw_min",93.4018730876909
"Reported_Uncorrectable_Errors_norm_min",86.4022952094136
"Reported_Uncorrectable_Errors_max",84.6865272978861
"Reported_Uncorrectable_Errors_norm_rms",81.4678596904344
"smart_183_raw_rms",78.935914533309
"smart_189_raw",78.5754814668137
"smart_242_raw_p2p",69.7846705318379
"Current_Pending_Sector_Count_min",68.9528103310193
"smart_194_raw_rms",66.5817538960556
"Days_In_Service_var",66.4456758565218
"smart_189_raw_rms",65.714603863157
"smart_190_raw_rms",65.4996465832429
"smart_194_raw_mean",65.2840480532252
"smart_183_raw_min",63.2174404465873
"smart_189_raw_mean",62.8746228527175
"smart_242_raw_var",59.6348868545584
"smart_241_raw_var",56.7689565189564
"Reported_Uncorrectable_Errors_var",52.8432729127187
"Reallocated_Sector_Count",52.0632299464818
"Reported_Uncorrectable_Errors_norm_max",50.7431554088255
"Reallocated_Sector_Count_min",49.7874208434949
"smart_192_raw_mean",49.0122791566563
"smart_194_raw_max",48.5146636229018
"Reallocated_Sector_Count_rms",47.0115417704827
"smart_189_raw_max",46.6789165292073
"Reallocated_Sector_Count_max",46.5422830446443
"Reported_Uncorrectable_Errors_min",46.5238350427725
"smart_7_raw_var",45.1340747224095
"Reported_Uncorrectable_Errors",44.4190154762061
"smart_240_raw_var",40.3498959263414
"smart_190_raw_max",37.0069642110679
"Reallocated_Sector_Count_mean",34.8958906185238
"smart_190_raw",33.9454169213149
"smart_193_raw_var",31.7125485673455
"Offline_Uncorrectable_min",30.1087282494727
"smart_192_raw",28.813323950713
"smart_7_raw_p2p",27.716776385159
"Reported_Uncorrectable_Errors_norm_var",27.6859915415061
"smart_192_raw_var",26.8557990053646
"Reported_Uncorrectable_Errors_norm_p2p",25.462454223288
"smart_194_raw",23.3934777649967
"smart_189_raw_var",21.9944968782236
"smart_192_raw_rms",21.3412522427215
"Command_Timeout_var",21.0780942193564
"smart_199_raw_var",20.1913677423951
"smart_199_raw_rms",17.2946026562208
"smart_199_raw_max",16.4398929759873
"smart_199_raw",15.2140797313507
"smart_190_raw_var",14.905880671925
"smart_241_raw_p2p",14.0190795547254
"smart_199_raw_mean",12.6641401383298
"Days_In_Service_kurt",12.627504526466
"smart_192_raw_max",11.5545440348054
"E2E_Error_norm_mean",9.86282965283926
"smart_199_raw_min",7.7318061990503
"smart_192_raw_min",7.68775673539592
"Reallocated_Sector_Count_var",7.21790669848272
"smart_194_raw_var",7.162336846192
"smart_190_raw_p2p",7.10747559540273
"smart_193_raw_p2p",6.67843480255306
"smart_193_raw_kurt",5.835314709248
"smart_1_raw_skew",4.8088425845704
"smart_1_raw_min",4.75697880814432
"smart_1_raw_max",4.16208568109828
"smart_194_raw_p2p",3.98994918593867
"smart_242_raw_kurt",3.70447279947779
"Offline_Uncorrectable_p2p",3.18020142248167
"E2E_Error_norm_max",2.67422258006428
"smart_240_raw_kurt",2.59872588137285
"E2E_Error_rms",2.5433729249837
"Reported_Uncorrectable_Errors_norm_kurt",2.37580422348663
"smart_1_raw_mean",2.35152120162207
"smart_240_raw_p2p",2.31586485783687
"smart_194_raw_kurt",2.27555686793079
"smart_1_raw_var",2.24948237650055
"Offline_Uncorrectable_kurt",2.24780768237423
"Current_Pending_Sector_Count_p2p",2.12043995375093
"smart_194_raw_skew",2.04868579788899
"smart_1_raw_rms",1.86114352684083
"smart_241_raw_skew",1.85280105833011
"smart_190_raw_skew",1.76412006139932
"E2E_Error_norm_rms",1.67339598138555
"smart_193_raw_skew",1.64589271830378
"smart_1_raw_p2p",1.64302795073302
"smart_241_raw_kurt",1.62176647748179
"smart_190_raw_kurt",1.43771445645687
"smart_1_raw_kurt",1.39262237520578
"Reported_Uncorrectable_Errors_skew",1.28669176599017
"E2E_Error_mean",1.17444705113804
"Reported_Uncorrectable_Errors_norm_skew",1.14828044611641
"Current_Pending_Sector_Count_skew",1.08643218717855
"smart_242_raw_skew",0.779012204788967
"E2E_Error_max",0.724303354225731
"smart_189_raw_kurt",0.714555655016295
"Days_In_Service_skew",0.67818389778547
"smart_189_raw_p2p",0.628543135643019
"E2E_Error",0.627322960336187
"Offline_Uncorrectable_skew",0.567239034104944
"E2E_Error_min",0.374892333193884
"Days_In_Service_norm_p2p",0.306217635181133
"Reallocated_Sector_Count_skew",0.300512806013523
"smart_12_raw_skew",0.27692015594389
