"","vimp.df.order..vimp.df...."
"smart_7_raw_max",1399.14640329997
"smart_7_raw",1190.09879573731
"Command_Timeout",999.155041604845
"smart_7_raw_rms",898.079005020723
"smart_7_raw_mean",786.499905091264
"Command_Timeout_max",743.29476929093
"smart_7_raw_min",715.139448115901
"smart_242_raw_min",312.864170747297
"Reallocated_Sector_Count_min",272.935092479033
"Command_Timeout_min",233.783969194502
"Command_Timeout_rms",192.090591414663
"Days_In_Service_norm_min",181.647658200776
"Reallocated_Sector_Count",175.13401231852
"Command_Timeout_mean",174.781672016277
"Reallocated_Sector_Count_rms",164.842701555176
"Reallocated_Sector_Count_mean",159.325195993718
"smart_242_raw_max",145.853830810135
"Days_In_Service_norm_max",141.553280499503
"smart_242_raw_mean",138.162601024859
"smart_190_raw_min",129.436112550073
"Reallocated_Sector_Count_max",126.863751495332
"Reallocated_Sector_Count_norm_min",124.962335117087
"Reallocated_Sector_Count_norm",120.69632814666
"smart_194_raw_min",106.130891669357
"Days_In_Service_norm",103.017169416496
"Days_In_Service_kurt",84.5439495282118
"Reallocated_Sector_Count_norm_max",82.6463628286104
"Reallocated_Sector_Count_norm_mean",73.2130531276938
"Days_In_Service_norm_rms",67.7049526306174
"Days_In_Service_max",55.9347750320803
"Days_In_Service",53.7183535766194
"Days_In_Service_min",45.4647879602968
"Command_Timeout_var",41.7496346303653
"Reallocated_Sector_Count_norm_rms",36.9681379973203
"smart_12_raw_mean",36.3239336794248
"Days_In_Service_norm_mean",35.8192137919622
"Days_In_Service_rms",32.404746587808
"smart_194_raw_mean",31.2689844925009
"smart_190_raw",30.6993563038476
"Days_In_Service_mean",30.5128360899995
"smart_242_raw_rms",28.8855757297047
"smart_190_raw_max",26.3478484498531
"smart_242_raw_var",26.0724903290183
"smart_4_raw_var",23.4598153577967
"Days_In_Service_norm_var",22.4611998046951
"smart_4_raw_mean",21.859452246324
"smart_194_raw",20.4453535180537
"smart_194_raw_rms",18.8260496757053
"smart_241_raw_mean",16.6321665370187
"smart_190_raw_mean",16.5030369041863
"smart_194_raw_max",15.4038104559038
"smart_4_raw_rms",14.6892558247484
"smart_241_raw_var",14.0568544867817
"smart_12_raw_min",13.5388456055061
"smart_4_raw_min",13.1725958389394
"smart_4_raw_max",12.6091921801753
"smart_241_raw_min",12.4400362007883
"smart_12_raw_var",12.2611914693959
"smart_242_raw_p2p",12.2367386427651
"smart_12_raw_max",12.1287639199503
"smart_190_raw_rms",9.8541963233433
"smart_4_raw",8.95254323493635
"smart_7_raw_var",7.65393778714897
"smart_12_raw",6.12569045040565
"smart_195_raw_max",5.51101065986312
"smart_242_raw",5.46045819425143
"smart_1_raw_max",5.43361440690393
"smart_241_raw_p2p",5.30480398576227
"smart_1_raw_min",5.20091434930033
"Reallocated_Sector_Count_var",5.16602782034956
"smart_12_raw_rms",4.91875065323284
"smart_7_raw_p2p",4.82701528406718
"smart_194_raw_p2p",4.28022805812836
"smart_241_raw",4.14829723068995
"smart_241_raw_max",4.04231164084745
"smart_241_raw_rms",3.0421954918671
"smart_240_raw_max",2.60225617106015
"smart_190_raw_var",2.01147863436698
"smart_195_raw_min",1.47264587014539
"smart_195_raw_kurt",1.35999353823516
"smart_190_raw_p2p",1.27318286928488
"smart_195_raw_p2p",1.15441587146437
"smart_194_raw_var",0.970362294166022
"smart_1_raw_kurt",0.966446021653308
"smart_240_raw_min",0.854148603720146
"smart_1_raw_p2p",0.813734728177584
"Days_In_Service_norm_p2p",0.391673377026878
"smart_1_raw_rms",0.363248939156724
"smart_4_raw_kurt",0.358578242823138
"smart_1_raw_mean",0.295827896845978
"smart_190_raw_skew",0.26367553278934
"smart_194_raw_skew",0.252582941128334
"smart_195_raw_rms",0.220238695174261
"Reallocated_Sector_Count_p2p",0.186653725493416
"smart_195_raw_mean",0.174257471091101
"smart_241_raw_skew",0.16375294047452
"smart_242_raw_skew",0.150008964981765
"smart_240_raw_p2p",0.138639490114123
"smart_7_raw_skew",0.113918193960978
"smart_240_raw_rms",0.09977190205276
"smart_194_raw_kurt",0.0856986116746445
"smart_1_raw_var",0.0832906504876394
"smart_190_raw_kurt",0.0712550552550848
"smart_240_raw_skew",0.0695106109856911
"Days_In_Service_var",0.0514232269789865
"smart_240_raw_mean",0.0463025769316737
"Reallocated_Sector_Count_skew",0.0228819960155412
"smart_242_raw_kurt",0.0213374287766332
"smart_1_raw_skew",0.0211291374369619
"Days_In_Service_norm_skew",0.0137008254589482
"smart_240_raw_kurt",0.0129981323059384
"smart_195_raw_skew",0.0111767801634773
"smart_240_raw_var",0.0107634065326376
"Reallocated_Sector_Count_norm_var",0.0106520333473299
"Reallocated_Sector_Count_norm_p2p",0.010032489879321
"Reallocated_Sector_Count_norm_skew",0.00832461963950468
"Reallocated_Sector_Count_norm_kurt",0.00714734683065021
"smart_240_raw",0.00709357410335159
"smart_195_raw_var",0.0051846827466516
"smart_241_raw_kurt",0.00495548824393213
"Command_Timeout_p2p",0.0048901379333258
"smart_1_raw",0.00310698124461277
"smart_7_raw_kurt",0.00308865743666118
"smart_4_raw_skew",0.00115957556443211
"Reallocated_Sector_Count_kurt",0.000319729797903801
"smart_12_raw_skew",8.2247272955982e-05
"Command_Timeout_norm",-5.32907051820075e-16
"Days_In_Service_skew",-1.86517468137026e-15
"smart_4_raw_p2p",-2.04281036531029e-15
"Command_Timeout_kurt",-2.04281036531029e-15
"Command_Timeout_skew",-2.04281036531029e-15
"Command_Timeout_norm_rms",-2.1316282072803e-15
"Command_Timeout_norm_p2p",-2.1316282072803e-15
"Command_Timeout_norm_min",-2.1316282072803e-15
"Command_Timeout_norm_kurt",-2.1316282072803e-15
"Command_Timeout_norm_skew",-2.1316282072803e-15
"Days_In_Service_p2p",-2.1316282072803e-15
"smart_12_raw_kurt",-2.1316282072803e-15
"smart_12_raw_p2p",-2.22044604925031e-15
"Command_Timeout_norm_mean",-2.30926389122033e-15
"Command_Timeout_norm_var",-2.30926389122033e-15
"smart_195_raw",-0.00345616961596837
"Days_In_Service_norm_kurt",-0.0368278971222902
