"","vimp.df.order..vimp.df...."
"smart_192_raw_min",132.01856322255
"smart_192_raw",125.029640176478
"smart_251_raw_var",116.986575838075
"smart_252_raw_var",112.753129143891
"smart_250_raw_var",102.405336421911
"smart_251_raw",101.055638290367
"Days_In_Service_norm_max",99.6220468754752
"smart_192_raw_max",98.4396951907466
"Days_In_Service_norm_mean",94.5507902430235
"smart_192_raw_rms",89.9330487819055
"smart_251_raw_min",87.4632561348738
"smart_251_raw_mean",80.1413691243929
"smart_192_raw_mean",78.0498148910306
"smart_251_raw_max",65.0185763878091
"smart_251_raw_rms",61.6871092910866
"Days_In_Service_norm",60.2043321695853
"smart_252_raw_p2p",58.5635892269645
"Days_In_Service_rms",54.8898919557648
"Days_In_Service_max",54.6309041801368
"smart_190_raw_mean",54.3872961397103
"Days_In_Service_norm_rms",54.2935355163099
"smart_194_raw_mean",52.8654829429791
"Days_In_Service_min",52.3636932729717
"smart_250_raw_p2p",52.3288193294829
"Days_In_Service_mean",50.7940495114582
"smart_193_raw_mean",48.928903898497
"smart_193_raw_var",47.8730119377744
"smart_251_raw_p2p",47.793101132245
"smart_193_raw_min",45.439193723352
"Days_In_Service",44.9510858576002
"smart_194_raw_rms",41.6191985807174
"Days_In_Service_norm_min",39.4486039232518
"smart_193_raw",37.5628555040782
"smart_7_raw_rms",37.1156997308152
"smart_193_raw_rms",36.8638248764851
"smart_7_raw_max",35.0800073359482
"smart_190_raw_rms",33.7825787371866
"smart_7_raw",33.5355717965798
"smart_7_raw_min",32.5830907317595
"smart_193_raw_max",32.289617327004
"smart_7_raw_mean",31.5623213570064
"smart_191_raw",29.8888408602657
"smart_12_raw",28.900855225067
"smart_12_raw_min",28.6588219587683
"Days_In_Service_norm_var",28.2342631523703
"smart_4_raw_min",27.3634609411188
"smart_190_raw_min",27.2895762802193
"smart_194_raw_min",26.9094305752868
"smart_191_raw_mean",25.4455768680156
"smart_4_raw",25.033240786028
"smart_191_raw_min",24.4777132788295
"smart_4_raw_mean",24.1955343856557
"smart_4_raw_rms",23.9945159874956
"smart_190_raw_max",23.2266263327863
"smart_4_raw_max",22.9556680606568
"smart_12_raw_mean",22.3812550509834
"smart_12_raw_max",22.1449556639116
"smart_191_raw_max",21.13865545502
"smart_191_raw_rms",21.124513223425
"smart_193_raw_p2p",19.9396831971508
"smart_7_raw_var",19.8817803569587
"smart_250_raw",18.2584298494145
"smart_194_raw_max",18.0522421056767
"smart_250_raw_rms",16.0237068747305
"smart_250_raw_min",15.2709389977362
"Days_In_Service_var",14.0149744743831
"smart_250_raw_mean",13.424040679072
"smart_12_raw_rms",13.0752910117361
"Command_Timeout_mean",12.9896252754457
"smart_250_raw_max",12.4483395372707
"smart_252_raw_min",12.0331034580291
"Command_Timeout",11.5005943481906
"smart_252_raw",11.1467062576925
"Command_Timeout_min",10.8864109829105
"Command_Timeout_rms",10.3828632641586
"Command_Timeout_max",9.34650103509577
"smart_252_raw_rms",7.94635098687441
"smart_241_raw_max",7.1907531443711
"smart_7_raw_p2p",7.1455986523577
"smart_241_raw_min",6.87703254579867
"smart_241_raw_rms",6.2900544626267
"smart_194_raw_var",6.1017605923633
"smart_241_raw",5.70467653843945
"smart_190_raw_var",5.66807490726164
"smart_252_raw_mean",5.27094931734124
"smart_252_raw_max",5.2318298443027
"smart_190_raw_p2p",4.83159892036379
"smart_194_raw_p2p",4.52729707924771
"smart_241_raw_mean",4.46075969027591
"smart_194_raw",4.45542744660313
"Reallocated_Sector_Count_max",4.22187079698053
"Reported_Uncorrectable_Errors_norm_max",3.90392525974024
"smart_242_raw_min",3.65736806877811
"Offline_Uncorrectable_max",3.64694179892332
"smart_242_raw_max",3.36714417651227
"smart_1_raw_max",3.22306376334308
"Current_Pending_Sector_Count_mean",3.18687939740244
"Days_In_Service_norm_p2p",3.00971465940784
"smart_240_raw_max",2.90787792162261
"smart_190_raw",2.85748807709629
"Current_Pending_Sector_Count_max",2.77285107243402
"smart_1_raw_min",2.6221721755417
"smart_240_raw_min",2.56236959855893
"smart_192_raw_var",2.5590963366503
"smart_195_raw_min",2.35177522043495
"Command_Timeout_var",2.3331020826057
"Current_Pending_Sector_Count_min",2.30265782352824
"Reported_Uncorrectable_Errors_norm_rms",2.22549480724196
"Reallocated_Sector_Count",2.10407736581959
"smart_195_raw_max",1.98808975831718
"Reallocated_Sector_Count_min",1.80309652306179
