"","vimp.df.order..vimp.df...."
"smart_4_raw_min",105.467102689554
"smart_12_raw_min",89.934918336238
"smart_199_raw_max",55.970501619408
"smart_4_raw_mean",52.1956821048376
"Command_Timeout_var",49.6430568705916
"smart_199_raw_rms",49.0459442214017
"smart_199_raw_mean",43.6939482045391
"smart_199_raw",36.2143134619724
"smart_199_raw_var",36.1956122333117
"smart_183_raw_min",35.9458958485097
"smart_12_raw_rms",30.8388697237775
"smart_12_raw_mean",28.6996493071868
"smart_183_raw_mean",27.3645223144024
"smart_183_raw",27.3302985447367
"smart_199_raw_min",27.3299259595236
"smart_183_raw_max",26.7312894140462
"smart_242_raw",25.9596185704878
"smart_242_raw_max",22.7450020460398
"smart_4_raw_rms",22.5055406235984
"smart_194_raw_mean",21.7644595307545
"smart_194_raw_rms",20.2928673507296
"smart_242_raw_mean",20.0270939369918
"smart_242_raw_rms",19.9159096270879
"smart_190_raw_mean",19.6647242129472
"smart_190_raw_rms",19.5149457591621
"smart_183_raw_rms",17.6100921881765
"smart_192_raw_var",11.4803609184866
"smart_193_raw_min",11.1854524400503
"smart_194_raw_max",9.25101609677269
"smart_7_raw_min",8.99267476400392
"smart_242_raw_min",8.91946272931462
"smart_193_raw_mean",8.72452053877124
"smart_193_raw_max",6.83425218851307
"smart_12_raw",6.77580652619843
"smart_193_raw_rms",6.58113606533027
"Days_In_Service_mean",6.18062899940099
"Days_In_Service_rms",5.74910840205913
"smart_190_raw_max",5.69233851870579
"smart_7_raw",5.44282623532086
"smart_7_raw_mean",5.24698574953451
"smart_240_raw_mean",5.05106669884106
"smart_12_raw_max",4.91404833242463
"smart_7_raw_rms",4.74587932653774
"smart_190_raw_min",4.62506208071613
"smart_193_raw",4.4223427806139
"smart_240_raw_max",4.31123058350379
"Days_In_Service_max",3.54306884737497
"smart_241_raw_rms",3.2290770207441
"smart_194_raw_var",3.11716586266836
"smart_241_raw_min",2.76631551845774
"smart_190_raw_var",2.74332784771522
"smart_7_raw_max",2.7428588642688
"Command_Timeout_norm_skew",2.68178497614953
"smart_192_raw_max",2.66015677435089
"smart_192_raw_rms",2.42610454883282
"smart_190_raw_p2p",2.24588267018917
"smart_240_raw_min",2.20975112594525
"Days_In_Service_min",2.1974584881634
"smart_240_raw_rms",2.1356206356323
"smart_241_raw",2.07215525806359
"smart_194_raw",2.0701063259456
"smart_240_raw",1.96278686205664
"smart_195_raw_rms",1.77487054519835
"smart_194_raw_min",1.75473498205857
"smart_241_raw_mean",1.70353743939129
"Days_In_Service",1.66273452349524
"Days_In_Service_norm_rms",1.58981091315988
"smart_241_raw_max",1.4810842145855
