"","vimp.df.order..vimp.df...."
"Current_Pending_Sector_Count_norm",297.279417616471
"Current_Pending_Sector_Count",256.772005094294
"Days_In_Service_min",208.271063957121
"smart_4_raw_min",196.898456712918
"smart_12_raw_max",185.576474581481
"smart_200_raw_rms",181.342016349603
"smart_200_raw_mean",176.99021993653
"smart_200_raw",169.186657962933
"smart_12_raw",160.168332719598
"smart_200_raw_min",158.436743592055
"smart_200_raw_max",157.884027532983
"smart_4_raw",138.532247318
"smart_4_raw_max",124.986120527164
"smart_12_raw_var",115.706497900101
"smart_4_raw_rms",109.378605628715
"Days_In_Service_mean",107.571030532912
"Days_In_Service_max",105.635402965745
"Days_In_Service",90.5072005947137
"smart_12_raw_min",90.1245601502122
"smart_1_raw_max",83.2678293178225
"smart_1_raw_rms",80.392756821116
"smart_4_raw_mean",71.2782436932055
"smart_1_raw",67.2561996121893
"smart_1_raw_mean",66.5043336578532
"Days_In_Service_var",59.1376628943158
"Days_In_Service_rms",57.226744821962
"smart_225_raw_var",49.4822718505516
"smart_225_raw_max",46.661382301414
"smart_12_raw_rms",45.8255193514518
"smart_1_raw_var",39.2130142113106
"smart_225_raw_p2p",38.3902528268868
"smart_225_raw_min",33.7049600293027
"smart_194_raw_mean",33.0964430173017
"smart_12_raw_mean",32.3428114644232
"smart_194_raw_max",30.4563983010566
"smart_225_raw",27.6925954221375
"smart_194_raw_min",26.3828024856065
"smart_225_raw_mean",26.1754535785318
"smart_1_raw_min",25.6489067680333
"smart_194_raw_rms",25.453704257864
"smart_3_raw_min",20.6152291665002
"smart_3_raw_max",20.4694762097885
"smart_225_raw_rms",19.6184690040447
"Current_Pending_Sector_Count_norm_mean",18.8966847872561
"Current_Pending_Sector_Count_norm_rms",17.3389146720354
"smart_223_raw_mean",15.1619886013236
"smart_3_raw_mean",14.6880185071095
"smart_200_raw_var",14.2197210237012
"smart_192_raw_mean",13.4488642470388
"smart_223_raw_min",13.2638243888463
"smart_3_raw_rms",13.0831612377273
"smart_194_raw",10.9726401021452
"smart_11_raw_max",10.9556863196899
"smart_1_raw_p2p",10.4316154240755
"smart_223_raw",10.4270843322833
"smart_191_raw_min",9.27038144003268
"smart_192_raw",9.14172837419942
"Current_Pending_Sector_Count_rms",7.74686783647506
"smart_3_raw",7.6127447564664
"Current_Pending_Sector_Count_mean",7.51941008166089
"smart_200_raw_p2p",7.41456460935291
"smart_3_raw_var",6.85323810772591
"smart_11_raw",6.72255896429919
"Days_In_Service_kurt",6.45843769949352
"smart_223_raw_var",6.31049492012439
"smart_11_raw_mean",5.81766783429914
"smart_200_raw_kurt",5.6812928712926
"smart_223_raw_max",5.45872996229136
"smart_191_raw_max",5.10539309426727
"smart_11_raw_rms",4.7978013336338
"Current_Pending_Sector_Count_min",4.54516962485896
"Current_Pending_Sector_Count_max",4.30492480748961
"smart_223_raw_rms",4.03524743938977
"smart_191_raw",3.97215541963204
"smart_191_raw_mean",3.5568806897999
"smart_194_raw_var",3.24624476730202
"smart_11_raw_var",2.52506569328337
"smart_225_raw_kurt",2.00336530942989
"Current_Pending_Sector_Count_var",1.90406387033602
"smart_191_raw_rms",1.8951077198675
"smart_192_raw_min",1.81081454630812
"smart_225_raw_skew",1.39424622625472
"smart_199_raw",1.32779317754023
"Current_Pending_Sector_Count_norm_max",1.30081992258224
"smart_194_raw_p2p",0.99282982425632
"smart_194_raw_kurt",0.974885682902158
"smart_194_raw_skew",0.960202689567499
"smart_199_raw_mean",0.798488883793318
"smart_1_raw_kurt",0.793699960187148
"smart_199_raw_max",0.743827438700715
"smart_11_raw_min",0.73431513662834
"Current_Pending_Sector_Count_p2p",0.704291730715135
"Current_Pending_Sector_Count_skew",0.701525250517504
"smart_199_raw_min",0.593312500626944
"smart_199_raw_rms",0.41346950382972
"Days_In_Service_p2p",0.392779714699124
"Current_Pending_Sector_Count_norm_min",0.384077310089491
"Current_Pending_Sector_Count_norm_var",0.340716762348592
"Current_Pending_Sector_Count_kurt",0.253087343346882
"Current_Pending_Sector_Count_norm_p2p",0.226581652733037
"smart_223_raw_p2p",0.215505525258325
"smart_1_raw_skew",0.206204684054522
"smart_191_raw_var",0.15004276625343
"Days_In_Service_norm_var",0.142970402620956
"Current_Pending_Sector_Count_norm_kurt",0.119819284741991
"smart_200_raw_skew",0.108414414065606
"smart_11_raw_p2p",0.105529873244349
"Current_Pending_Sector_Count_norm_skew",0.0660663288127244
"smart_4_raw_var",0.0554321001050187
"smart_192_raw_var",0.038716259563148
"smart_192_raw_rms",0.0239088548521439
"smart_192_raw_skew",0.0065654617556909
"smart_3_raw_p2p",0.00590204369274101
"smart_192_raw_max",0.00498514081826187
"Days_In_Service_skew",0.00381616911230473
"smart_192_raw_kurt",0.00173763401559484
"smart_223_raw_kurt",0.000941070872189975
"smart_191_raw_kurt",0.000843281613056668
"smart_12_raw_p2p",0.000818246169719927
"smart_191_raw_p2p",0.000638099726753083
"smart_4_raw_kurt",0.000130621256166386
"smart_191_raw_skew",0.000104974774140487
"smart_4_raw_p2p",0
"smart_4_raw_skew",0
"smart_192_raw_p2p",0
"smart_3_raw_kurt",-3.5527136788005e-16
"smart_12_raw_kurt",-3.5527136788005e-16
"smart_12_raw_skew",-3.5527136788005e-16
"smart_3_raw_skew",-4.03746770079039e-06
"smart_11_raw_kurt",-0.00240965967885458
"smart_11_raw_skew",-0.0064095263518599
"smart_223_raw_skew",-0.0151797037723668
