"","vimp.df.order..vimp.df...."
"smart_193_raw_min",101.236455204583
"smart_193_raw_max",47.2620861404054
"smart_193_raw_mean",40.6828486878548
"smart_193_raw_rms",35.4157579999651
"smart_193_raw",23.2078879202487
"smart_242_raw",13.8118841790617
"smart_242_raw_mean",13.1614462003599
"smart_242_raw_max",11.7031814909014
"Days_In_Service_var",10.0463876460329
"smart_194_raw_max",8.38158367447561
"smart_242_raw_rms",7.69996216159384
"smart_190_raw_max",7.573484228538
"smart_194_raw_mean",5.42338690009322
"smart_194_raw_rms",4.8792463179841
"Command_Timeout_mean",4.80880495801321
"smart_1_raw_max",4.45422102074678
"smart_242_raw_min",4.3625650531252
"smart_190_raw_rms",4.29902401973565
"smart_190_raw_mean",4.21486537978963
"Command_Timeout_rms",4.07116437022084
"smart_7_raw",3.71431596835312
"smart_241_raw_max",3.70563248290032
"Reallocated_Sector_Count",3.55067475234679
"smart_194_raw_p2p",3.53298156258628
"smart_7_raw_max",3.47375609505597
"smart_241_raw",3.09593830309344
"smart_7_raw_p2p",2.95061218059074
"smart_241_raw_mean",2.78799842359978
"Command_Timeout_min",2.76570231460455
"smart_241_raw_rms",2.59514987146877
"smart_1_raw_min",2.53061665278807
"smart_7_raw_mean",2.49797620954068
"smart_194_raw_min",2.40520222635442
"Reallocated_Sector_Count_max",2.38689203537164
"Reallocated_Sector_Count_mean",2.37136099544525
"smart_190_raw_p2p",2.32160360993493
"Reallocated_Sector_Count_rms",2.27740747576187
"smart_194_raw_var",2.25967930807138
"Reallocated_Sector_Count_norm_mean",2.14073624741835
"smart_7_raw_rms",2.09397912694941
"smart_7_raw_var",2.05885099533609
"smart_190_raw_var",1.99308504214924
"smart_241_raw_var",1.91620298558821
"smart_242_raw_var",1.82548083691951
"smart_1_raw_rms",1.74045670758395
"smart_194_raw_skew",1.69935364304475
"smart_7_raw_min",1.64421154395182
"Reallocated_Sector_Count_norm_max",1.56300184301473
"smart_193_raw_var",1.44474881555021
"smart_190_raw_min",1.31813800178919
"smart_194_raw",1.23610625400984
"Reallocated_Sector_Count_min",1.2170637375584
"smart_240_raw_min",1.18837908197796
"Command_Timeout",1.1247671691578
"smart_242_raw_p2p",1.07794623878312
"Command_Timeout_max",1.05977259228623
"smart_190_raw_skew",1.00912577068199
"smart_4_raw",1.00797832273413
"Days_In_Service_rms",0.984089349692084
"Reallocated_Sector_Count_var",0.96308451816264
"smart_240_raw",0.899414200613166
"smart_241_raw_min",0.891772197183383
"smart_190_raw",0.862265957740621
"Reallocated_Sector_Count_norm_rms",0.846432942816376
"smart_4_raw_min",0.844656723064016
"smart_4_raw_mean",0.811302067011183
"smart_1_raw_p2p",0.762829705975403
"smart_1_raw_var",0.738627843035722
"smart_240_raw_max",0.709527990514011
