"","vimp.df.order..vimp.df...."
"Reallocated_Sector_Count",1663.81644568069
"Reallocated_Sector_Count_max",1473.15937287512
"smart_7_raw_rms",1396.39438063228
"smart_193_raw",1375.18155932728
"smart_193_raw_max",1309.25324937124
"smart_7_raw_mean",1249.32340390522
"smart_7_raw",1194.94975994668
"smart_193_raw_min",1157.1609737351
"smart_7_raw_min",1120.47025470596
"smart_193_raw_rms",1120.38261108159
"smart_193_raw_mean",1100.72189736114
"Reallocated_Sector_Count_rms",998.319264137621
"Reallocated_Sector_Count_mean",995.240955342824
"smart_7_raw_max",849.068203189847
"smart_4_raw",385.310115875551
"smart_4_raw_min",291.115983702671
"Days_In_Service_min",279.498787835203
"smart_12_raw_max",247.466121452582
"Command_Timeout_max",239.034233999505
"Days_In_Service_max",223.969865657656
"smart_12_raw_min",216.576448556422
"Days_In_Service_norm_max",195.597594340337
"Days_In_Service",193.439968991304
"smart_4_raw_max",176.534669832749
"Days_In_Service_mean",174.175230695901
"smart_4_raw_mean",173.945655438918
"Reallocated_Sector_Count_min",170.396386619224
"Command_Timeout_mean",169.189358620671
"Command_Timeout",168.002388306024
"Days_In_Service_rms",164.57602977458
"smart_4_raw_rms",150.290147889483
"Command_Timeout_rms",142.453094456137
"smart_12_raw",138.527682671088
"smart_12_raw_rms",133.868419264702
"smart_12_raw_mean",116.352432699469
"Days_In_Service_norm",112.185105565473
"Days_In_Service_norm_rms",105.466897565181
"Reallocated_Sector_Count_var",101.865337009363
"Days_In_Service_norm_min",97.6719492865702
"smart_242_raw_min",92.1595975942029
"smart_242_raw",90.2855289500505
"smart_242_raw_rms",87.3172623127961
"Command_Timeout_min",85.8721381843391
"Days_In_Service_norm_mean",78.6143122747783
"smart_242_raw_max",72.1739154914379
"smart_241_raw_min",47.7098032878431
"smart_241_raw_rms",47.1206119440334
"smart_241_raw",46.5319803562874
"smart_241_raw_max",46.1801115968644
"Offline_Uncorrectable_max",44.8762926507831
"smart_4_raw_var",43.9693067998871
"smart_12_raw_var",43.534614129543
"smart_241_raw_mean",42.3152235755934
"smart_242_raw_mean",42.18254262177
"Reallocated_Sector_Count_p2p",39.1559995350285
"Current_Pending_Sector_Count_max",38.3574481237149
"Offline_Uncorrectable",34.0085801481847
"smart_191_raw_max",33.1748184219052
"smart_190_raw_min",32.1849418227753
"Current_Pending_Sector_Count",31.58680263069
"smart_191_raw_min",30.0715699885949
"smart_189_raw_mean",25.512326975744
"smart_191_raw",25.4102804840077
"smart_193_raw_p2p",23.6522029819219
"Offline_Uncorrectable_mean",21.8217038745824
"Current_Pending_Sector_Count_rms",21.3437066415418
"smart_191_raw_rms",20.1587462821867
"smart_194_raw_max",19.9878727034064
"smart_189_raw_max",18.3627846600291
"smart_183_raw_rms",17.8107029388803
"Days_In_Service_var",17.6427987412017
"smart_193_raw_var",17.0068825565689
"smart_191_raw_mean",16.383811422521
"smart_194_raw_mean",15.7035974218064
"smart_241_raw_var",15.6652397537464
"smart_190_raw_rms",14.8254162641105
"smart_190_raw_mean",14.4481950603385
"Offline_Uncorrectable_rms",13.462305581046
"smart_189_raw",13.0869807579833
"smart_194_raw_rms",12.7021484937381
"smart_183_raw_min",11.8350746265337
"Days_In_Service_norm_var",11.3171795831286
"smart_189_raw_min",11.2510069160946
"Current_Pending_Sector_Count_mean",10.9264638624392
"smart_242_raw_var",10.5849510301901
"smart_183_raw_var",9.98636899016725
"smart_242_raw_p2p",9.75968132790795
"smart_191_raw_p2p",9.66991992066396
"smart_190_raw_max",9.62541876736535
"smart_193_raw_kurt",9.34535598066087
"smart_189_raw_rms",8.9100542583658
"smart_194_raw",8.88343216628688
"smart_192_raw_rms",8.36397532315692
"Current_Pending_Sector_Count_var",8.21425624371874
"smart_190_raw",8.06978106985546
"Reallocated_Sector_Count_kurt",8.04463387475574
"smart_241_raw_p2p",6.84879024806807
"smart_7_raw_p2p",6.30685044323819
"Days_In_Service_kurt",5.9130913192273
"smart_183_raw_mean",5.59604479330399
"Reallocated_Sector_Count_norm_rms",5.25710262143563
"smart_192_raw_mean",5.22150305048733
"smart_194_raw_min",4.79617201222502
"smart_192_raw_max",4.36550416996367
"smart_195_raw_max",4.34052216582355
"Reallocated_Sector_Count_norm_min",4.17378380463224
"Reallocated_Sector_Count_norm",4.16693454197353
"smart_192_raw_var",4.02234276389013
"smart_183_raw",3.97976818377944
"smart_183_raw_max",3.60785526751267
"smart_7_raw_var",3.6028804980938
"Offline_Uncorrectable_var",3.22368015421547
"Reallocated_Sector_Count_norm_mean",3.08626824157739
"smart_1_raw_min",2.728150716479
"Reallocated_Sector_Count_norm_max",2.47183736764575
"Current_Pending_Sector_Count_min",2.40471527533988
"smart_191_raw_var",2.33680043263021
"smart_195_raw_min",2.24089594810654
"Offline_Uncorrectable_min",1.82131666316859
"smart_1_raw_max",1.68802921096074
"Offline_Uncorrectable_skew",1.67882123630542
"smart_190_raw_var",1.38015327813014
"Command_Timeout_p2p",1.31068458709752
"smart_194_raw_var",1.02998680501454
"smart_240_raw_max",0.987842154711061
"smart_192_raw",0.98296529264893
"smart_240_raw_min",0.89380283404516
"Current_Pending_Sector_Count_p2p",0.627694937001165
"smart_7_raw_kurt",0.611565973765341
"smart_194_raw_kurt",0.57379190095528
"Days_In_Service_skew",0.505125497136029
"smart_194_raw_skew",0.499516208502193
"smart_190_raw_skew",0.448504254557901
"smart_240_raw_p2p",0.370775682041626
"smart_194_raw_p2p",0.365030322461
"Days_In_Service_norm_p2p",0.364121861267346
"Current_Pending_Sector_Count_skew",0.362002576480704
"smart_190_raw_p2p",0.333842179520827
"smart_242_raw_skew",0.298905726419914
"smart_193_raw_skew",0.282018959897492
"smart_1_raw_var",0.273623792609918
"smart_192_raw_min",0.264359615922743
"smart_1_raw_rms",0.255951668456327
"smart_195_raw_var",0.204678696935486
"smart_190_raw_kurt",0.196269848300235
"smart_242_raw_kurt",0.190453754254087
"Command_Timeout_skew",0.186696606505885
"Command_Timeout_norm_skew",0.185820071436166
"Command_Timeout_norm_var",0.172443365216957
"Offline_Uncorrectable_p2p",0.155960145637984
"smart_195_raw_p2p",0.144870984379307
"smart_1_raw_p2p",0.144644747455332
"smart_195_raw_rms",0.13967728990668
"smart_240_raw_skew",0.121326832932209
"Command_Timeout_var",0.11575728602961
"smart_240_raw_rms",0.11509744185071
"smart_189_raw_var",0.113443501307289
"smart_240_raw_var",0.100516415658763
"smart_195_raw_kurt",0.0989488154710888
"smart_195_raw_mean",0.0891964205080387
"smart_240_raw_kurt",0.069202839826582
"smart_195_raw_skew",0.0687719812281142
"smart_1_raw_mean",0.0642758108788039
"Reported_Uncorrectable_Errors",0.061250740279824
"smart_240_raw_mean",0.0608374457324749
"Command_Timeout_norm_kurt",0.0474845072777462
"smart_191_raw_skew",0.0461560004428848
"Command_Timeout_norm_min",0.0445274297189247
"smart_1_raw_kurt",0.040687838979809
"smart_7_raw_skew",0.039921705150307
"Days_In_Service_p2p",0.0393599922229974
"Reported_Uncorrectable_Errors_rms",0.0319066948641974
"Days_In_Service_norm_skew",0.0283465467150987
"smart_241_raw_kurt",0.0266709500898061
"Command_Timeout_norm_rms",0.0260700092872836
"Reported_Uncorrectable_Errors_var",0.0259966574642927
"Reported_Uncorrectable_Errors_p2p",0.0227506801687134
"Reported_Uncorrectable_Errors_norm_skew",0.0217853690523173
"smart_1_raw_skew",0.0215230714246714
"Reported_Uncorrectable_Errors_norm_rms",0.0154172308205
"smart_1_raw",0.0130706268471069
"smart_12_raw_p2p",0.0120867446297643
"smart_191_raw_kurt",0.0102547604027855
"Reported_Uncorrectable_Errors_skew",0.0101837802783446
"Reallocated_Sector_Count_norm_var",0.0059687395416363
"Offline_Uncorrectable_kurt",0.00591552764084078
"smart_240_raw",0.00583542151624847
"Days_In_Service_norm_kurt",0.00477336198840197
"smart_241_raw_skew",0.00343031996024168
"Command_Timeout_kurt",0.00327962948892502
"smart_192_raw_p2p",0.00210367910203555
"Reported_Uncorrectable_Errors_max",0.00145146578422608
"Reallocated_Sector_Count_norm_kurt",0.00125304557587
