"","vimp.df.order..vimp.df...."
"smart_192_raw_rms",1336.37346419046
"smart_192_raw",1247.40371079927
"smart_7_raw_rms",1187.8508611193
"smart_192_raw_mean",1152.85883218392
"smart_7_raw_min",1098.60519504157
"smart_7_raw_mean",1092.00952680005
"smart_192_raw_max",946.251294752117
"smart_192_raw_min",925.591477956885
"smart_7_raw_max",876.760439758867
"smart_7_raw",813.429361804219
"smart_191_raw_max",789.853890989156
"smart_191_raw",714.024859044407
"smart_191_raw_min",647.937595943742
"smart_191_raw_mean",640.801816789386
"smart_191_raw_rms",616.303804782553
"smart_4_raw_var",602.391606881911
"Reallocated_Sector_Count_rms",505.221698618023
"Reallocated_Sector_Count_mean",474.604090103646
"Reallocated_Sector_Count",439.97106727955
"smart_190_raw_max",403.665407179271
"Days_In_Service_var",398.518884822759
"Reallocated_Sector_Count_max",393.785970124808
"smart_194_raw_max",355.672767052029
"Reallocated_Sector_Count_min",340.055252541419
"smart_193_raw_var",272.806801152114
"smart_193_raw_p2p",247.396859077051
"smart_193_raw_max",229.125567834645
"smart_241_raw_var",220.238372195848
"smart_193_raw",218.424707865464
"smart_193_raw_mean",207.697879452032
"smart_194_raw_min",200.373319963327
"smart_193_raw_min",198.708075318525
"smart_12_raw_var",198.638701467028
"smart_12_raw_mean",194.403930234009
"smart_4_raw_mean",194.210589686602
"Reported_Uncorrectable_Errors_norm_min",183.906775517206
"smart_4_raw_min",179.109846625352
"smart_191_raw_var",170.993377993533
"smart_190_raw_min",169.522733175108
"smart_12_raw",166.102356596024
"smart_193_raw_rms",165.964662535441
"Reported_Uncorrectable_Errors",163.065842025507
"Reallocated_Sector_Count_var",157.934192838184
"smart_4_raw_rms",154.998285775536
"smart_240_raw",154.448454132631
"smart_240_raw_max",153.673526215066
"smart_12_raw_max",150.123479801678
"smart_192_raw_var",146.075051029893
"smart_4_raw",142.771172350405
"smart_190_raw_mean",135.399899256011
"smart_4_raw_max",134.563047646265
"smart_240_raw_rms",133.499036346567
"smart_12_raw_min",131.754909147019
"smart_7_raw_var",126.606392315163
"Reported_Uncorrectable_Errors_norm",122.252283951695
"Reported_Uncorrectable_Errors_max",122.154643771017
"smart_194_raw_mean",115.09430948172
"Days_In_Service_norm_max",111.605512020986
"smart_7_raw_p2p",111.499409527627
"smart_242_raw_min",111.128464073337
"smart_240_raw_min",110.953809991889
"smart_191_raw_p2p",110.129712677096
"smart_240_raw_mean",109.989837361821
"smart_194_raw_rms",106.623400054761
"Days_In_Service_norm",102.951273205422
"smart_12_raw_rms",97.7979109224113
"smart_190_raw",96.4767272254634
"smart_190_raw_rms",93.2876873283851
"smart_194_raw",91.9057166032768
"Days_In_Service_norm_min",84.60849169965
"Offline_Uncorrectable_max",84.5257819658555
"Reported_Uncorrectable_Errors_norm_rms",82.6923752731849
"Current_Pending_Sector_Count_max",79.7250460529258
"smart_242_raw",79.631080444681
"Reported_Uncorrectable_Errors_rms",79.2831708189577
"Reported_Uncorrectable_Errors_norm_max",76.6380758383087
"Days_In_Service_norm_mean",76.4321870239353
"smart_199_raw_max",75.4007258652691
"smart_242_raw_mean",71.2731375228237
"Reported_Uncorrectable_Errors_min",70.8390902878616
"smart_242_raw_rms",70.5499895919904
"Days_In_Service_max",69.1506635217789
"Current_Pending_Sector_Count",68.5254095826102
"Reported_Uncorrectable_Errors_mean",65.9280506596454
"smart_199_raw",65.9007145051274
"smart_241_raw_p2p",64.6775961845214
"Days_In_Service_mean",64.2363553086953
"smart_241_raw_mean",63.6349158627329
"Command_Timeout",62.7898757902078
"smart_242_raw_max",61.8783216457877
