"","vimp.df.order..vimp.df...."
"smart_191_raw_var",390.330164460026
"Reallocated_Sector_Count_min",277.921013309761
"smart_191_raw_p2p",216.204137908634
"Reallocated_Sector_Count",178.518532555954
"Reallocated_Sector_Count_rms",133.55807527792
"Reallocated_Sector_Count_max",129.914111629671
"smart_222_raw_min",108.439099958594
"smart_194_raw_rms",103.740321175704
"smart_194_raw_min",102.382246981531
"Current_Pending_Sector_Count",102.372051007259
"smart_192_raw_rms",95.9658220447996
"Days_In_Service_norm_min",87.5388597840958
"Days_In_Service_norm",84.8572414048458
"smart_191_raw_mean",84.3191187922552
"Days_In_Service_norm_max",83.3644509109342
"Days_In_Service_rms",80.593425468983
"smart_193_raw_min",78.0995007750555
"smart_194_raw_mean",75.3040325429439
"smart_222_raw",73.5575674705058
"Days_In_Service_norm_rms",73.5114327216771
"smart_194_raw",72.5208750705945
"smart_192_raw_mean",71.3022711728833
"smart_191_raw_min",70.3294967585604
"Reallocated_Sector_Count_mean",70.2166073231693
"smart_222_raw_mean",70.1180265880816
"Days_In_Service_max",67.5864351417045
"smart_191_raw_max",66.5071922348041
"Days_In_Service_min",64.7271422202913
"smart_193_raw",63.3931871120231
"Reallocation_Event_Count_rms",60.0451414515008
"Days_In_Service_norm_mean",58.6204103676805
"Reallocation_Event_Count",58.1113430642752
"smart_192_raw",58.0290496691944
"smart_193_raw_max",57.3092803925619
"Reallocation_Event_Count_var",55.9902362050507
"smart_193_raw_rms",53.5548574015087
"Days_In_Service_mean",51.769291759451
"smart_193_raw_mean",51.7485462942186
"smart_222_raw_max",51.36719735177
"Days_In_Service",44.4968120138347
"smart_194_raw_max",42.9111102765957
"smart_192_raw_max",42.7536363960884
"smart_191_raw",40.4682151783801
"Reallocation_Event_Count_mean",40.3383435712353
"Reallocation_Event_Count_min",39.4306658963101
"smart_226_raw_min",38.0905660191495
"smart_12_raw_mean",37.1904095150064
"Current_Pending_Sector_Count_max",36.8545102219921
"smart_222_raw_rms",34.0924224237566
"smart_192_raw_min",33.5609424424849
"smart_226_raw",33.4192276609289
"smart_191_raw_rms",32.364251527021
"Current_Pending_Sector_Count_rms",32.2385959161795
"Reallocated_Sector_Count_var",29.4035139853173
"Current_Pending_Sector_Count_mean",27.9151652090306
"smart_226_raw_max",25.6992404361198
"Days_In_Service_kurt",24.9483845071028
"smart_3_raw_rms",23.1184452295326
"smart_192_raw_var",21.9209535785106
"smart_3_raw_mean",19.7906631227764
"smart_193_raw_var",19.7738443133618
"Reallocation_Event_Count_max",18.8236315343314
"smart_3_raw_max",18.5304499739736
"smart_226_raw_rms",14.7769762449512
"smart_226_raw_mean",13.8013415707641
"smart_3_raw_min",13.6795087217821
"smart_12_raw_min",13.0907679040197
"smart_4_raw_min",12.0857455630875
"smart_3_raw",12.0323731607133
"smart_4_raw_mean",10.0393411336151
"Reallocation_Event_Count_p2p",9.34541954599464
"Current_Pending_Sector_Count_var",9.08048700055924
"smart_12_raw_rms",8.93064589485612
"Reallocated_Sector_Count_p2p",8.15468263355999
"smart_220_raw_mean",7.47690940038095
"smart_191_raw_kurt",6.12833534663623
"Current_Pending_Sector_Count_min",4.67850427517783
"smart_194_raw_var",4.48357146596589
"smart_4_raw_rms",4.22018525104211
"smart_4_raw",4.05233635343097
"Days_In_Service_norm_var",3.40265946056245
"smart_220_raw_max",3.39783775189373
"smart_4_raw_max",3.09232499861368
"Days_In_Service_var",3.06278199689127
"Reallocated_Sector_Count_kurt",2.9654969386469
"smart_226_raw_var",2.61890469301628
