"","vimp.df.order..vimp.df...."
"smart_3_raw_max",297.900502993156
"smart_3_raw_mean",196.429756632917
"smart_3_raw_min",131.803094876509
"smart_3_raw",120.044802604728
"smart_226_raw_mean",114.163214684194
"smart_3_raw_rms",111.046540609719
"smart_194_raw",100.020869169198
"Days_In_Service_mean",95.5534648175111
"smart_194_raw_min",95.5110926316263
"Days_In_Service_min",92.666821492887
"smart_222_raw_min",86.7183364310672
"smart_226_raw_min",79.8878431143939
"smart_191_raw_max",77.9537949304575
"Days_In_Service_norm_mean",77.8453689798545
"Reallocated_Sector_Count_var",76.2825730918617
"Days_In_Service_norm_max",73.836829725916
"smart_194_raw_mean",72.5640075584978
"smart_222_raw_mean",72.1310517889613
"Days_In_Service_norm_min",68.8683568978574
"smart_191_raw_rms",68.6507703521819
"smart_222_raw_max",65.7170036639589
"Days_In_Service",64.678769818823
"smart_226_raw",63.6190060763258
"Days_In_Service_rms",62.2013506961241
"smart_226_raw_rms",62.0117992865094
"smart_222_raw_rms",59.4717041398446
"smart_226_raw_max",59.1548427404197
"Days_In_Service_norm",59.1250123856335
"smart_194_raw_max",58.9766791056902
"Days_In_Service_max",58.0357834063874
"smart_193_raw_min",54.3048942924892
"smart_191_raw_mean",51.6694073829652
"Current_Pending_Sector_Count",50.7001420637051
"smart_193_raw_max",49.60275908764
"Current_Pending_Sector_Count_max",46.5933784632924
"smart_193_raw_mean",46.5689088392502
"smart_191_raw",45.3288918194184
"smart_193_raw_rms",41.7316615987203
"smart_222_raw",41.1625478916954
"smart_194_raw_rms",39.8279227643646
"smart_12_raw_max",39.2833166935884
"smart_4_raw_max",38.6685772002858
"smart_192_raw_rms",38.4087965278248
"smart_193_raw",38.0218244034888
"smart_191_raw_var",37.7772096046539
"smart_3_raw_var",35.6568905118725
"smart_192_raw_mean",35.567306827391
"Days_In_Service_norm_rms",35.5424512821359
"smart_193_raw_var",35.3547589811308
"smart_192_raw_min",35.3045965890811
"smart_191_raw_min",33.5794439169727
"Current_Pending_Sector_Count_rms",33.178891842145
"smart_192_raw",32.0735694894464
"smart_4_raw_mean",29.874736295868
"smart_192_raw_max",26.9657414053036
"smart_12_raw_rms",23.9467278407462
"Current_Pending_Sector_Count_mean",23.9036140279612
"smart_4_raw",23.5250615199092
"smart_4_raw_rms",22.9535337400999
"smart_12_raw_mean",22.4772434714345
"smart_12_raw_min",22.0509451808894
"Reallocated_Sector_Count_max",21.5268818083464
"smart_12_raw",20.6744796359447
"Days_In_Service_kurt",18.8989460053878
"smart_4_raw_min",16.0705060025927
"Current_Pending_Sector_Count_var",15.7366049079152
"Reallocation_Event_Count_rms",15.6004578029271
"Reallocated_Sector_Count_rms",14.9569064389374
"Days_In_Service_var",13.3388733884566
"Reallocation_Event_Count",13.3145784306768
"Reallocation_Event_Count_mean",12.4368456754547
"Reallocation_Event_Count_var",12.321040809672
"Current_Pending_Sector_Count_min",11.9114298821529
"Reallocated_Sector_Count_mean",11.2557458696617
"Reallocation_Event_Count_max",10.3592686632667
"Reallocated_Sector_Count",8.27529974415756
"smart_226_raw_var",6.97861434036482
"Reallocated_Sector_Count_min",6.88489909599531
"smart_194_raw_p2p",5.40697453730786
"smart_194_raw_var",5.25750422895591
"smart_194_raw_kurt",2.99287510965139
"smart_4_raw_var",2.69383539748673
"smart_194_raw_skew",2.00590900412468
"Reallocation_Event_Count_min",1.29056619550692
"smart_3_raw_p2p",1.13886049681404
"smart_222_raw_var",0.92236411758567
"smart_193_raw_p2p",0.907114624994395
"smart_222_raw_kurt",0.87393510780438
"smart_226_raw_p2p",0.835844262916504
"Current_Pending_Sector_Count_p2p",0.654345427059692
"Days_In_Service_skew",0.595875664553949
"Current_Pending_Sector_Count_kurt",0.586376792309264
"smart_12_raw_var",0.537474168345025
"smart_3_raw_kurt",0.370212094564295
"smart_226_raw_kurt",0.342961393902283
"smart_193_raw_kurt",0.279158556796853
"Days_In_Service_norm_var",0.24882449333
"smart_12_raw_p2p",0.246090578632919
"Days_In_Service_norm_p2p",0.242371362451917
"Reallocated_Sector_Count_norm",0.227520259938839
"Reallocated_Sector_Count_skew",0.224605614175346
"Days_In_Service_norm_skew",0.209579918573345
"Current_Pending_Sector_Count_skew",0.123366064873335
"Reallocated_Sector_Count_norm_min",0.116722413353722
"smart_191_raw_skew",0.115998432519464
"smart_4_raw_kurt",0.0727991949253891
"smart_12_raw_skew",0.0582598628205375
"Reallocation_Event_Count_p2p",0.0369117648949668
"smart_192_raw_var",0.032539564220184
"smart_3_raw_skew",0.0301153675521618
"Reallocation_Event_Count_kurt",0.0290229534320304
"Reallocated_Sector_Count_p2p",0.0234438741650393
"smart_4_raw_skew",0.0184038768561351
"smart_4_raw_p2p",0.0140391528016892
"smart_191_raw_kurt",0.0135776109006883
"Days_In_Service_p2p",0.0134344543744618
"Reallocation_Event_Count_skew",0.0125131801095819
"smart_191_raw_p2p",0.0103414029326473
"smart_12_raw_kurt",0.0045080876939636
"Reallocated_Sector_Count_norm_rms",0.00082396788990593
"smart_192_raw_p2p",0.000173665286703795
"smart_192_raw_kurt",0
"smart_192_raw_skew",0
"Reallocated_Sector_Count_norm_p2p",0
"Reallocated_Sector_Count_norm_kurt",0
"Reallocated_Sector_Count_norm_skew",0
"Reallocated_Sector_Count_norm_mean",0
"Reallocated_Sector_Count_norm_var",0
"smart_193_raw_skew",-0.0121833698513171
"smart_222_raw_skew",-0.0652614641428158
"Reallocated_Sector_Count_kurt",-0.136949691269547
"smart_222_raw_p2p",-0.261679580087866
"Days_In_Service_norm_kurt",-0.332454287508983
"smart_226_raw_skew",-0.410389799517435
