"","vimp.df.order..vimp.df...."
"Days_In_Service_norm_mean",436.106098264072
"Days_In_Service_norm_rms",420.006959789292
"Days_In_Service_min",394.791566246527
"Days_In_Service_norm_max",383.10576374598
"Days_In_Service_rms",325.539410354344
"Days_In_Service_mean",273.689779770635
"Days_In_Service_max",263.69170409723
"Days_In_Service",252.043181991273
"Days_In_Service_norm_min",160.167836294596
"Days_In_Service_norm",158.102393267226
"smart_194_raw_min",117.13043351965
"smart_194_raw_max",53.3213109237144
"smart_194_raw",51.0358216445532
"smart_193_raw_max",44.471338915892
"smart_194_raw_rms",37.9171914237992
"smart_193_raw",36.8943384901008
"smart_192_raw_rms",34.7432923202356
"smart_194_raw_mean",31.8597763228641
"smart_193_raw_min",31.8396487015229
"smart_193_raw_rms",24.2196306283435
"smart_192_raw",22.9107564954109
"smart_192_raw_mean",22.0521075626397
"smart_193_raw_mean",21.3160565319654
"smart_12_raw_mean",15.6345864733572
"smart_192_raw_max",13.8810217425267
"Days_In_Service_kurt",12.755112678196
"smart_4_raw_max",12.6239934489633
"smart_4_raw_min",9.14495704792796
"smart_3_raw_p2p",8.74944093356258
"smart_3_raw",8.18136757510075
"smart_192_raw_min",7.39726656508312
"Reallocated_Sector_Count",7.2323221734314
"smart_3_raw_max",7.14028432968849
"Reallocation_Event_Count_p2p",6.90059390643512
"smart_3_raw_kurt",6.82546618654484
"Current_Pending_Sector_Count_max",6.08697365520283
"smart_12_raw",5.95350001804501
"smart_4_raw",5.61711502142598
"smart_12_raw_max",5.08487047822596
"smart_1_raw",4.457253025569
"smart_4_raw_var",4.08591565659102
"Reallocation_Event_Count_kurt",4.08342304490902
"smart_1_raw_min",3.91618595499457
"Reallocated_Sector_Count_var",3.89450601239564
"smart_3_raw_skew",3.85158474593001
"smart_193_raw_var",3.73836013596054
"Reallocation_Event_Count_rms",3.65215589808012
"Reallocated_Sector_Count_mean",3.42181263947845
"Current_Pending_Sector_Count_mean",3.34963233626964
"Reallocation_Event_Count",3.23211443865741
"Current_Pending_Sector_Count_min",3.16482660709669
"smart_4_raw_p2p",3.02468137702792
"smart_12_raw_min",2.88414088425728
"Current_Pending_Sector_Count_rms",2.81699170959329
"Reallocation_Event_Count_norm_rms",2.80865130906769
"smart_194_raw_p2p",2.71612415361798
"smart_194_raw_var",2.48819284262371
"smart_1_raw_max",2.4344971726776
"Reallocated_Sector_Count_max",2.39611878338136
"Reallocation_Event_Count_mean",2.39520829532324
"Current_Pending_Sector_Count_var",2.19451328630217
"Reallocation_Event_Count_norm_kurt",2.15261900842114
"Reallocation_Event_Count_max",2.13720056194125
"Reallocation_Event_Count_norm_var",1.85125074000905
"smart_1_raw_skew",1.63396869000419
"Reallocated_Sector_Count_skew",1.62546517241379
"smart_3_raw_rms",1.55151515306975
"smart_1_raw_var",1.44023540892962
"smart_1_raw_rms",1.34865203657752
"smart_4_raw_mean",1.27933858040392
"smart_4_raw_skew",1.21709738840943
"smart_3_raw_min",0.913751358967837
"smart_4_raw_kurt",0.837118974579424
"Reallocation_Event_Count_norm",0.820714462255491
"smart_1_raw_kurt",0.724121642838229
"smart_4_raw_rms",0.579156886012653
"Reallocation_Event_Count_norm_p2p",0.557017733564014
"smart_1_raw_p2p",0.555280784537968
"Reallocated_Sector_Count_p2p",0.537554065743945
"smart_193_raw_kurt",0.513594577624101
"smart_1_raw_mean",0.362615450828309
"Current_Pending_Sector_Count_kurt",0.348354171917503
"smart_194_raw_skew",0.245265066976997
"smart_12_raw_rms",0.229241865544452
"smart_194_raw_kurt",0.207911336026339
"smart_12_raw_kurt",0.20508157680916
"Days_In_Service_norm_var",0.136460761339651
"smart_193_raw_skew",0.113976119557338
"smart_12_raw_var",0.0877314424482472
"Days_In_Service_norm_p2p",0.0834305672355788
"smart_193_raw_p2p",0.0572598981557284
"smart_3_raw_mean",0.011755877487314
"Current_Pending_Sector_Count_skew",0.00202813463683578
"Current_Pending_Sector_Count_p2p",0.00164612625039613
"Days_In_Service_norm_skew",0.00155675041238466
"Days_In_Service_var",0.000565930295471073
"Days_In_Service_norm_kurt",2.67053951372276e-05
"smart_199_raw_min",6.21724893790088e-16
"smart_199_raw_max",6.21724893790088e-16
"smart_199_raw_mean",6.21724893790088e-16
"Reallocation_Event_Count_norm_min",6.21724893790088e-16
"Reallocation_Event_Count_norm_skew",6.21724893790088e-16
"Reallocation_Event_Count_norm_mean",6.21724893790088e-16
"smart_199_raw_rms",2.66453525910038e-16
"Reallocation_Event_Count_skew",2.66453525910038e-16
"Reallocation_Event_Count_var",8.88178419700125e-17
"Current_Pending_Sector_Count",0
"smart_199_raw",0
"Reallocated_Sector_Count_rms",0
"Reallocated_Sector_Count_kurt",0
"smart_3_raw_var",-0.000326907920030894
"smart_12_raw_p2p",-0.000748887199043491
"smart_12_raw_skew",-0.00520874143233998
