"","vimp.df.order..vimp.df...."
"Days_In_Service_rms",91.5684821233023
"Days_In_Service_mean",84.5235991983905
"Days_In_Service",82.2057558366685
"Days_In_Service_min",77.420184796885
"Days_In_Service_norm",65.4914493165271
"Days_In_Service_max",57.0631441657177
"Days_In_Service_norm_mean",44.7675010508866
"Days_In_Service_norm_min",41.810132093515
"Days_In_Service_norm_rms",38.102455151138
"smart_4_raw_mean",8.4837094715714
"smart_4_raw",7.80703431429826
"smart_4_raw_max",7.62018998777522
"smart_4_raw_rms",7.42733706433998
"smart_12_raw_mean",7.13622146488383
"smart_4_raw_min",7.07697021946636
"smart_12_raw_min",7.01487678647811
"smart_12_raw",6.81131385546235
"smart_193_raw_min",6.60894441356706
"smart_12_raw_rms",6.35310233595806
"smart_193_raw_max",6.02415295057241
"smart_193_raw_mean",5.67618054693876
"smart_193_raw",5.52699806564246
"smart_193_raw_rms",5.40029532835294
"smart_12_raw_max",5.19587060070029
"Days_In_Service_norm_max",4.55934373774052
"smart_3_raw_max",3.80699434930252
"Days_In_Service_norm_var",3.78467573536872
"smart_3_raw",3.76125360890494
"smart_3_raw_rms",3.72161210728885
"smart_3_raw_min",3.65271836976919
"smart_194_raw_skew",3.60051312123807
"smart_3_raw_mean",3.34032324460174
"smart_194_raw_var",2.74862510637098
"Days_In_Service_var",2.7227872266529
"smart_192_raw_max",1.41758513518243
"smart_194_raw_mean",1.3769996805822
"smart_192_raw",1.32617690376431
"smart_194_raw_p2p",1.26898285139888
"smart_194_raw_rms",1.26746423582807
"smart_192_raw_mean",1.21305006325411
"smart_192_raw_min",1.03344006434821
"smart_192_raw_rms",0.995966498586692
"smart_194_raw_min",0.919706022900502
"smart_194_raw_max",0.750864650291961
"smart_194_raw_kurt",0.52522007966865
"smart_194_raw",0.305807476069587
"Days_In_Service_norm_p2p",0.151268542816134
"Days_In_Service_norm_skew",0.0979528548576853
"smart_12_raw_var",0.0594872448154637
"smart_1_raw",0.0445194679426887
"smart_1_raw_max",0.0251039204446704
"smart_1_raw_mean",0.0201127029012125
"smart_1_raw_min",0.0191101506078863
"smart_1_raw_rms",0.0113447222729956
"Days_In_Service_norm_kurt",0.00909540540711435
"smart_3_raw_p2p",0.00797047954633845
"Days_In_Service_skew",0.00630327557803145
"smart_3_raw_var",0.00393087031381132
"smart_193_raw_var",0.00327816094358298
"smart_4_raw_var",0.00267830953704173
"Days_In_Service_kurt",0.00238611537608429
"smart_12_raw_skew",0.00161549292779526
"smart_12_raw_p2p",0.00136881215310618
"smart_4_raw_kurt",0.000420666958777582
"smart_193_raw_kurt",0.000266402168359736
"Days_In_Service_p2p",0.000144092140921259
"smart_3_raw_kurt",0.00010314164482832
"smart_4_raw_skew",7.50149026133684e-05
"smart_12_raw_kurt",7.32795186618063e-05
"smart_193_raw_p2p",1.77635683940025e-16
"smart_4_raw_p2p",0
"smart_3_raw_skew",-0.000112633569699216
"smart_193_raw_skew",-0.000136306907052397
