"ID";"date";"Model";"n_vimp";"train_length";"train_serials";"n_tree";"nodesize";"mtry";"test_length";"test_serials";"test_mean_RUL";"test_max_RUL";"test_sd_RUL";"test_rmse";"base1_rmse";"base2_rmse";"time"
2;"2019-06-07";"WDC WD800AAJS";30;1155;10;200;1;16;237;2;58.78;120;34.32;5.09;NA;NA;95.36
3;"2019-06-07";"HGST HMS5C4040ALE640";30;3127;24;200;2;5;305;5;117.4;266;83.3;126.03;NA;NA;444.58
4;"2019-06-07";"HGST HMS5C4040BLE640";30;3967;49;200;1;4;1023;12;102.57;326;84.34;123.39;NA;NA;483.81
5;"2019-06-07";"Hitachi HDS5C3030ALA630";30;6154;31;200;1;9;1190;7;160.2;470;126.33;137.55;NA;NA;645.77
6;"2019-06-07";"Hitachi HDS5C4040ALE630";30;2682;13;200;1;11;929;3;250.57;609;169.76;260.91;NA;NA;256.5
7;"2019-06-07";"Hitachi HDS722020ALA330";30;2111;26;200;1;6;561;6;61.97;150;40.73;43.1;NA;NA;218.78
8;"2019-06-07";"Hitachi HDS723030ALA640";30;2784;16;200;1;9;431;4;109.27;254;68.71;38.19;NA;NA;303.43
9;"2019-06-07";"ST320LT007";30;4565;49;200;1;20;1016;12;56.19;146;40.29;27.06;NA;NA;435.3
10;"2019-06-07";"ST500LM012 HN";30;954;25;200;1;13;298;6;61.07;159;44.22;97.09;NA;NA;92.08
11;"2019-06-07";"ST500LM030";30;272;8;200;1;5;23;2;6.57;16;5.04;8.94;NA;NA;0
12;"2019-06-07";"ST4000DM001";30;287;6;200;1;5;1;1;0;0;0;38.73;NA;NA;0
13;"2019-06-07";"ST4000DX000";30;6043;26;200;1;16;853;6;159.02;430;116.57;101.52;NA;NA;626.18
14;"2019-06-07";"ST6000DX000";30;2834;17;200;1;11;331;4;84.29;212;60.46;130.91;NA;NA;302.17
15;"2019-06-07";"ST8000DM002";30;13940;131;200;1;25;3387;32;148.19;605;138.58;145.3;NA;NA;1245.31
16;"2019-06-07";"ST8000NM0055";30;13526;132;200;1;13;2774;33;129.33;502;123.28;132.79;NA;NA;1255.6
17;"2019-06-07";"ST10000NM0086";30;1087;5;200;1;8;390;1;194.5;389;112.73;38.17;NA;NA;108.44
18;"2019-06-07";"ST12000NM0007";30;13445;258;200;1;9;3611;64;68.75;336;67.09;67.46;NA;NA;1204.73
19;"2019-06-07";"ST3160318AS";30;884;6;200;1;9;16;1;7.5;15;4.76;39.81;NA;NA;75.19
20;"2019-06-07";"WDC WD30EFRX";30;292;8;200;6;20;19;2;4.37;10;3;8.57;NA;NA;23.1
21;"2019-06-07";"WDC WD60EFRX";30;545;10;200;4;8;103;2;42.79;93;28.71;125.06;NA;NA;39
22;"2019-06-08";"WDC WD800AAJS";30;1155;10;200;1;7;237;2;27.5;36;12.02;5.88;46.29;"2.5";2.57
23;"2019-06-09";"T";30;2031;32;200;1;16;382;8;154.97;343;106.71;161.38;137.55;NA;200.62
24;"2019-06-09";"H";30;21220;160;200;1;11;4397;40;148.75;661;144.02;145.29;149.66;NA;2041.73
25;"2019-06-09";"W";30;42525;120;200;1;9;14347;30;386.32;1157;279.07;267.11;308.42;NA;21414.31
26;"2019-06-09";"TOSHIBA MQ01ABF050";30;1744;29;200;1;20;233;7;42.25;107;31.5;76.07;45.39;NA;237.32
27;"2019-06-10";"ST4000DM000";30;200150;1493;200;1;16;50175;373;229.29;1094;214.48;216.07;225.7;NA;47134.07
28;"2019-06-11";"ST";30;1348756;3111;200;1;30;349808;777;325.72;1159;248.9;215.66;256.68;"";1549.68
